stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,113.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,17.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.82,0,0,0,0,0,0,0
 10-12,0,0,0,14.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.09,0,0.92,0,0,0,0,0,0,0,0,0,0,3.51,0,0,162.03,0,0,0,0,0,1.39,1.33,0,0,0,0
 24-34,0,0,0,0,1.02,0,3.91,0,0,1.92,0,0,0,0,0,0.65,0,1.37,0,0,612.2,1.84,1.59,0,0,0,0.72,19.86,0,0,0,0
 36-46,0,0,0,0,0,0,12.42,0,0.57,26.45,0,0,0,0.79,0,0.89,0,5.35,0,0,1680.73,0,0,3.27,0,0,0,58.39,0,0,0.55,0
 48-58,0,0,0,0,0.83,0,100.18,0,0,111.68,0,1.21,0,0,0,4.17,0,23.76,0,0,1750.61,0,0,1.41,0,3.28,0,164.49,0,0,0,0
 60-70,0,0,0,0,7.26,0,394.91,0,1.73,138.14,1.59,0,0,0,8.58,8.95,0.87,22.46,0,0,1676.3,0,0,7.04,0,1.78,0,295.12,0,0,3.6,0
 72-82,0,0,1.28,0,2.7,0.95,235.31,0,0,88.74,1.33,1.6,0,0,0.57,12.54,0,20.91,1.07,5.58,1343.67,0,0,9.47,0,0,0,91.46,1.83,0.63,6.2,1.24
 84-94,0,0,0,0,11.54,0,222.35,0,0.62,72.53,4.24,0.7,0,0,0,10.26,0,14.31,1.31,1.49,1057.95,0,0,6.54,0,0,0,97.84,0.56,0,2.85,5.06
 96-106,0,0,0,0,2.62,0,110.84,0,0,50.33,1.05,0,0.81,0,0,12.81,0,35.49,0,1.59,567.04,0,0,8.47,0,2.35,0,22.45,1.64,1.65,7.99,0
108-118,0,0,4.12,0,4.65,1.01,98.23,0.61,1.64,35.19,1.88,0,0,0,0,8.15,0.42,32.52,0,0,557.13,0,0,6.89,0,5.27,0,22.36,0.89,0,7.67,0.99
120,1.12,0,0,0,3.12,0,88.29,0,0,98.69,5.01,0,0,0,0,4.92,0,28.93,0,1.03,569.26,0,0,0,0,0,0,5.59,2.39,0,1.61,0
