stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,24.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,17.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.28,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1,0,0,0,26.48,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.98,0,0,0,4.56,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.26,28.49,13.19,0,0,0,0,0,0,12.54,0,20.97,0,0,0,0,152.69,0,0,35,178.47,17.59,0,0,0.83,0,1.2,4.08,0,3.38,103.99,0,0,1.01,0,0
 24-34,0,0,4.5,0,12.7,2.46,7.37,0,0,0,0,0,11.28,1.01,9.06,2.31,0,0,0,45.21,0.67,0,12.21,1296.92,1.89,0.76,0,0,0.99,1.68,0,0,1.39,149.3,0,0,8.61,0,0
 36-46,0,0,1.42,0,4.41,0.6,10.92,0,0,6.45,0.86,0,12.47,0,0.73,0,0,3.15,0,37.01,0,0.89,4.17,2231.76,1.41,2.2,0,0,1.51,0,0,0,0,179.37,0,0,18.53,0,9.29
 48-58,2.3,0,1.16,0,6.39,0,91.51,0,4.37,13.45,15.25,0.89,10.29,2.02,0,3.42,0,1.89,0,69.5,0.47,1.45,19.31,2214.96,0,1.46,0.69,0,0.46,2.18,0,0,0,133.62,0,0.85,8.45,0,1.47
 60-70,0,0,0,0,9.64,1.36,249.25,6.85,0,12.19,29.97,0.62,5.35,9.57,2.46,0,0.66,16.39,0,87.59,0,6,10.45,4318.04,0,2.78,0,0,3.38,7.58,0,0.68,0,295.32,0,0,8.02,0.77,12.67
 72-82,0,0,2.95,0,31.09,10.24,672.57,0,2.85,14.51,113.35,1.1,1.4,0,4.49,0,0,1.65,13.84,164.21,0.67,5.38,13.24,5358.63,1.67,1.33,8.29,0,1.67,3.87,0,0,0,366.92,0,2.38,16.94,3.76,17.93
 84-94,0,0,3.45,0,26.58,1.88,628.42,1.02,0.77,7.73,84.23,0,5.69,0.97,3.79,1.22,0,18.95,2.27,100.33,0,5.36,5.89,3618.62,0,0,0,0,0,6.47,0,2.13,0,244.22,0.9,1.6,11.6,5.95,9.72
 96-106,0,0,3.29,0,34.72,5.08,620.85,0.88,0.59,12.32,100.94,0,4.16,2.96,5.15,0,0,0,4.28,161.12,0,1.58,14.92,3491.16,0.91,2.64,0,0,4.44,10.51,0,2.16,0,166.28,0,4.09,19.24,3.93,6.26
108-118,0,0,3.73,0.49,48.61,4.49,629.41,0,0.5,11.69,78.94,2.17,3.6,0,2.53,5.69,0,5.6,0.74,137.06,0.43,4.59,7.04,5311.82,0,1.25,0,0,0.87,9.3,0,0.48,0,123.56,2.02,3.05,15.3,0,0
120,0,0,0,0,28.37,8.07,389.66,0,0,4.94,152.41,1.14,8.12,6.89,3.85,0,0,0,5.95,159.44,0,3.17,6.11,6621.1,3.33,0,0,0,10.01,8.95,0,0,0,130.46,0,5.4,16.55,7.44,0
