stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  5-6,0,7.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.31,0,0,3.66,0,0,4.13,0,0,0,0
 14-21,2.31,0,0,3.94,0,1.77,0,0,0,0,0,0,0,0,1.07,0,30.02,0,0,0,0,0.83,0,1.45,2.73,0,0
 24-34,0,0,0,0.7,0,1.94,0,0,0,0,0,0,0,0,3.63,0,17.45,0,0,0,0,0,0,0,2.02,0.84,0
 36-46,0,0,0,0,0,1.73,0,0,1.66,0,0,0,0,5.8,1.77,0.64,19.4,1.82,0.57,0,0.7,0,0,0,4.67,0,0
 48-58,0,0,0,4.07,0,1.85,0,1.9,0,0.49,0,0,0,0,1.95,0,0.89,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,6.36,0,0.78,1.46,0,0.98,6.65,0,0,0,0,7.23,1.37,4.19,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,4.63,1.44,5.2,0,2.02,3.53,0,0,0,0,0,8.98,0,3.72,0,1.6,0,1.92,0,0,0,0,0.71,0
 84-94,0,0,0,0.98,2.29,0.57,0,0,1.65,0.6,0,0,0,0,3.69,0,4.89,0,0,0,3.55,0,0,0,0,0,0
 96-106,0,0,0,3.55,6.31,0.81,1.9,0,12.02,0,0.75,0.61,0,0,3.22,0,2.26,0,0,0,9.85,0,0,0,0,1.22,0
108-118,0,0,0,11.69,0,0.66,0,0,0,0,0,0,0,0,11.81,1.18,4.4,0,0,0,2.95,0,0,0,0,0,4.44
120,0,0,0,0,0,0,5.49,0,5.85,0,0,0,2.05,0,0,0,13.91,0,4.6,0,0,0,0,0,0,0,0
