stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,33.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.11,45.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.88,0,0,0,0,12.34,0,0,0,0,11.73,0,0,0,0,0,0,0,0,0,0,15.61,35.8,0,0,3.5,0,17.42,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.21,3.08,0,0,37.19,0,3.3,0,8.7,0,0,0,0,0,0,0
 14-21,0,0,0,16.44,4.18,0,0,0,0,0,1.94,0,0.96,0,0,0,0,1.07,2,0,0,1.7,18.45,5.84,0,0,0.85,0,2.09,2.61,0,5.46,2.74,0,0,3.68,0,0
 24-34,0,0,0,10.39,0,0,0.77,2.52,0,0,0,0,0,3.82,0,0,0,4.24,5.91,3.37,0,0.96,12.15,0,0.75,0,0,0,37.37,0,0,2.02,2.22,0,0,11.31,0,2.17
 36-46,0,0,0,3.62,0,0,1.38,3.56,5.59,0,0,0,0,0.89,0.56,0,0,7.57,3.96,0,1.72,1.41,7.16,0,0.73,1.23,0,0,20.55,0,0,0,1.07,0,0,15.55,0,0.67
 48-58,0,0,0,10,0,0,1.43,9.2,4.45,0,0,0,0,0.49,0,0,0,0.59,9.87,1.63,0,0,4.85,0.39,0,0,0,0,13.25,0,0,0,0.84,0,0,8.29,0,0
 60-70,0,0,0,3.55,0,0,3.4,0,0,1.13,0,1.21,0,5.39,0,0,0,1.24,24.6,0,0,0,7.39,0,0,0.72,0,0,11.51,0,0,0,6.81,0,0,4.95,0,0.97
 72-82,0,0,0,3.56,0.96,0,3.65,1.03,9.47,0.7,0.71,0,3.25,12.4,0.85,1.55,0,0,59.27,0,0,0.71,14.2,0,1.46,1.32,0,0,0.59,0,0,0,5.83,0,1.58,7.9,0,0
 84-94,0,0,0,8.9,0.84,0,12.64,0.56,12.55,0.57,2.92,0.91,1.45,13.5,0.61,0,0.56,1.19,31.65,0,0.6,2.5,9.25,1.81,0,0,0,0,5.05,0,0,0,3.36,1.45,1.17,6.27,0,0
 96-106,0,0,0,13.56,0,1.05,1.67,0,5.34,4.89,1.32,0,0.99,22.5,0,0,0,0.81,35.14,0,3.27,0,5.65,0,1.72,5.52,0,2.27,14.03,0,0,0,5.32,0.59,1.08,9.87,0,0
108-118,0,0,0.54,13.77,2.7,1.41,0,0,8.43,2.9,0.92,0,0.56,9.89,0,0,1.59,0,26.57,0,0,0.99,6.37,0.71,0.6,0.51,0,2.78,6.41,0,0,0,0,0,0,12.04,1.75,0
120,0,0,0,5.18,0,0,2.43,0,0,16.66,1.62,0,0,9.43,2.19,0,3.28,1.61,50.94,0,0,2.36,8.35,0,0,0,0,0,1.32,0,0,0,0,5.08,0,15.31,0,0
