stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,spinal_cord,taste
  3-4,196.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85,0,0
  7-9,0,0,0,0,0,0,0,4.61,0,0,0,0,24.41,6.86,0,0,0,0
 14-21,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,2.37,0,0
 24-34,0,0,3.43,0,0,0,0,2.51,10.81,0,0,2.65,7.17,0,1.56,19.94,0.8,0
 36-46,0,0,0,0,0,0.93,0,0,0,0,0.65,0,9.09,0,0,7.51,0,0
 48-58,0,0,5.9,1.01,0,0,0,0.57,0,0,0,0,10.31,0,1.16,5.64,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,1.83,0,0
 72-82,0,0,0,0,0,0,0,0,0.78,0.85,0,0,4.87,0,0,2.39,0,0
 84-94,0,0,1.4,0,0,0,0,0,0,0,0,0,4.61,0,0.86,10.85,0,0
 96-106,0,1.41,3.57,0.98,0,6.69,1.38,0,0.78,2.09,4.73,0,4.89,0,2.11,11.71,0,1.14
108-118,0,0,5.1,0,0,3.32,1.3,0,3.18,1.47,0,0,4.56,0,3.86,10.64,0,1.4
120,0,0,10.55,0,1.05,0,0,0,0,0,0,0,3.58,0,1.91,8.02,0,0
