stage,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,1.95,0,0,0
 24-34,0,0,0.94,0,0,0,0,0,0,0,31.29,0,0,0
 36-46,0,0,103.63,2.41,0,1.27,0,0,0,0,125.03,0,1.18,0
 48-58,0,0,149.43,0,1.14,0,0,0,0,0,116.6,0,0.98,0
 60-70,0,0,133.12,0,0,0,0,0,0,0,116.31,0,1.36,0.73
 72-82,0,0,67,0,0.54,0,2.77,0,0.56,1.14,78.54,0,0,0
 84-94,0.66,0,54.08,0.86,2.63,0,5.69,0,0,0,79.31,0,0.58,0
 96-106,0,0,45.24,0,0,0,0,3.23,0,0,65.9,0,0,0
108-118,2.75,0.89,63.44,0,8.19,1.08,0,0,0,0,96.42,1.4,0,0
120,2.96,0,61.62,0,0,0,0,0,0,0,139.59,0,0,0
