stage,epidermis,eye,fast.muscle,glial,hatching.gland,ionocyte,mesenchyme,muscle,neural,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0.86,0,0,0,0,1.77,0.87,4.33,0
 24-34,0.82,0,0,0,0,0.94,0,0,8.43,0,1.77,0,0.84,0,0
 36-46,0,2.9,0,1.16,0,0,1.66,0,3.58,0,0,0,1.19,0,0
 48-58,8.5,0,0,0,0,0,1.06,0,18.16,0.46,0,0,6.57,0,0.91
 60-70,0,24.82,0,0.64,0,0,0,0,30.88,0,0,0,2.62,0,0
 72-82,0,4.29,0,1.7,0.5,0,1.48,1.77,31.1,0,0,0,10.04,0,2.83
 84-94,0,10.92,0,0.68,0,0,4.55,0.78,19.9,0,0,0,0,0,0
 96-106,0,14.97,0,0.64,0,0,0,0,13.79,0,0,0,0,0,0
108-118,2.4,8.72,0.64,0,0,0,1.06,0,12.8,0.8,0.43,0,0,0,0
120,0,3.84,0,0,0,0,4.77,1.77,62.26,0,0,0,0,0,0
