stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,glial,gut,immune,iridophores,melanocytes,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,9.74,317.68,0,0,0,0,0,0,0,0,0,0,0,0,0,55.57,0,0,0,0,0
  5-6,0,76.35,0,0,0,0,0,0,0,0,0,0,6.44,0,0,6.15,0,0,0,0,0
  7-9,4.89,0,0,0,0,0,0,0,0,0,0,0,12.54,0,3.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.65,0,8.5,0,0,0,0
 14-21,0,0,0,0,0,0,0.83,0.97,0,0,0,0.86,2.93,0,0,0,0,2.05,0,0,0
 24-34,0,0,0,0,1.07,0,0,0,0,0,0,2.22,7.03,1.59,0,0,0,0,0.65,1.57,0
 36-46,0,0,0,0,0.72,0,0,0,0,0,0,0.75,5.56,0,0,0,0,0,0,4.86,0
 48-58,0,0,0,0.38,4.16,0,0.45,0,0,0.39,0,0.52,13.24,0,0,0,0,0,0,2.28,0
 60-70,0,0,0,0,0.97,0,0,0,0,0,0,0,7.26,0,0,0,0,0,0,0,0.87
 72-82,0,0,0,0.73,2.3,0,1.19,0,0,0,0,1.03,7.54,0.84,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.91,0,0,0,0,0,0,0,6.01,0,0,0,0,0,0,0,0
 96-106,0,0,1.68,0,12.43,0.87,0,0,0,1.98,3.66,0,5.16,0,0,0,0,0,0,0,0
108-118,0,0,0,0,5.98,0,3.73,0,0,1.65,0,5.63,1.29,0,0,0,0,0,0,0,0
120,0,0,0,0,2.37,0,0,0,1.28,0,0,0,4.73,0,0,0,0,0,0,0,0
