stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,143.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,181.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.27,0,0,0,0,0,0,0
  7-9,4.32,207.06,0,0,21.3,0,0,0,0,0,0,0,0,0,0,0,0,0,384.55,4.73,0,206.15,0,0,12.83,0,0,0,0
 10-12,3.43,46.13,0,0,5.39,0,0,0,0,0,0,0,0,0,0,0,0,0,546.61,0,0,100.89,5.16,0,4.12,0,0,0,0
 14-21,0,0,182.07,0,0,0,0,1.2,0,0,1.15,0,54.2,0,4.31,0,0,0.99,27.03,0,1.02,0,3.11,3.87,0,1.13,10.21,0,0
 24-34,0,0.79,108.2,0,1.5,0,0,0,0,0.69,0,5.13,19.44,0,2.43,0,0,5.98,17.13,0,0,0,10.63,0,0,0,11.49,0,1.34
 36-46,0,0,50.35,0,0.75,0,0,0,0,0,0,2.42,0,0,5.87,0,0,0,10.59,0,0,0,21.64,0,0,0,3.68,0,0
 48-58,0,0,36.53,0,0.86,0,4.13,0,0.54,0,0,2.5,10,0,5.47,0.53,0,0.84,22.06,0,0,0,6.13,0,0,0,9.01,0,0
 60-70,0,0,12.17,0,0.6,0,8.52,0,0,0,0,0,9.57,0,0.81,0,0,0,19.24,0,0,0,3.82,0,0,0,11.29,0,0.68
 72-82,0,0,13.99,1.23,1.91,1.26,20.4,0,0,1.15,0,1.63,1.79,0.87,8.49,0,0,0,13.85,0,0,0,4.66,0,0,0,15.19,1.01,2.19
 84-94,0,0,33.4,0,3.44,1.93,3.89,0.97,0,0,0,0.61,0,0,6.93,0,0,0,10.8,0,0,0,1.48,0,0,0,18.73,0,1.73
 96-106,0,0,9.03,0,1.95,0,12.65,1.49,0,0,0,0,0,0,9.1,0.61,1.34,0,2.05,0,0,0,2.07,0,0,0,1.73,0,0
108-118,0,0,12.99,0,2.27,2.77,13.76,0.58,0,1.9,0,1.26,0,0,11.71,0,0,0,7.41,0,0,0,4.03,0,0,0,0,0,2.86
120,0,0,19.23,0,0,0,5.37,0,0,0,0,0,1.14,0,3.01,1.63,0,0,11.75,0,1.76,0,0,0,0,0,0,0,0
