stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,0,46.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0
  5-6,11.51,137.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.75,15.38,0,36.35,0,0,0,7.73,0,0,0,4,0,0,0,0,0,0,0,0,157.49,8.29,0,0,75.81,4.29,0,0,0,0,0,0,0
 10-12,0,24.53,0,19.48,0,0,0,31.5,0,0,0,4.27,0,0,0,0,0,0,0,0,247.13,19.6,0,0,106.02,0,4.37,0,46.06,0,0,0,0
 14-21,0,0,0,1.51,6.35,0.84,0,0.87,0,35.9,0,0,0,0,0,0,3.72,0,0,0.86,53.41,0,5.02,6.14,0.83,0,0,9.27,46.84,0.96,142.99,0,0
 24-34,0,0,0,0,0.7,0,0,7.3,0,64.86,0,0,0,0,0,1.38,3.7,0,0,0.72,59.29,0,46.94,7.02,0,0,0,0,45.56,0.71,133.26,0,0
 36-46,0,0,0,0,0,0,0,3.09,8.76,14.77,0,0,0,0,0,0,7.5,0,0,0,37.63,0,50.39,1.45,0,0,0,0,58.37,0,42.15,0,0
 48-58,0,0,0,0,2.36,0,0,21.86,0,36.24,0,0,0,0,1.66,0,0.87,0,0,0,44.09,0,34.13,4.07,0,0,0,0,13.15,0,44.34,0,5.51
 60-70,0,0,0,0,0,0,0,5.79,0,45.42,0.75,0,0,0,5,0,5.4,1.53,0,0,23.66,0,38.22,16.12,0,0,0,0,3.56,0,36.96,2.04,0
 72-82,0,0,1.1,0,0,4.31,0,8.3,0.78,61.53,0.56,0,0.58,0,6.58,0,3.89,0,0,0.97,47.33,0,54.37,8,0,0,0,0,1.56,0,21.77,0,0
 84-94,0,0,2.82,1.01,2.61,2.59,0,16.16,0,43.58,0.98,0,0,0,4.48,0,3.08,0,0,0,22.13,0,65.76,25.4,0,1.09,2.8,0,4.56,0,18.21,0,0
 96-106,0,0,2.82,0.64,0,1.94,0,4.87,0,30.67,5.8,0,0,0,15.96,0,8.34,0,0,0,24.77,0,119.4,24.21,0,0.94,0,0,1.39,0,18.26,0,0
108-118,0,0,0,1.28,3.53,0,0.5,10.75,0,38.51,0,0,0,5.79,7.74,0,0,0,4.08,0,22.43,0,69.47,16.91,0,0,0,0,4.49,0,8.14,0,3.17
120,0,0,0,3.17,0,0,0,3.45,0,18.68,0,0,0,0,15.64,3.16,5.68,0,0,0,37.84,0,77.01,40.24,0,1.88,0,0,12.78,0,3.55,0,0
