stage,epidermis,eye,fin.epithelia,glial,gut,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,3.36,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,10.21,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.94,0,0,0.88,0,0
 24-34,0,0,0,0,0,0,0,2.17,0,0,0.93,0,0.79
 48-58,0.38,0,0,0,0,0,0,5.3,0,0,3.36,0,0
 60-70,0,0,0,0,0,1.02,0,3.97,0,1.23,0,0,0
 72-82,0,0,0,0.75,0,1.49,0,0,0,0.54,0.68,0,0
 84-94,0,0,0,1.42,0.91,0,0.84,0,0,0.92,0,0,0
 96-106,0,1.68,0,0,0,2.14,0,2.75,0,0.59,0,1.23,0
108-118,0,0,0.6,4.23,0,0.81,0,5.07,0,0,0,0,0
120,0,0,0,0,0,4.69,3.33,2.41,0,0,0,0,0
