stage,blastomeres,exocrine.pancreas,eye,fin.epithelia,glial,mesenchyme,muscle,neural,otic,periderm,spinal.cord,vasculature
  3-4,27.51,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.16,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,32.39,0,0,0,0
 10-12,0,0,0,0,0,0,0,10.52,0,0,0,0
 24-34,0,0,0.61,0,0,2.6,0.96,3.57,0,0,0.7,0
 36-46,0,0,0.92,0,0,2.92,0,3.82,0.89,0,2.21,0.56
 48-58,0,0,0.77,0,0,0.75,0,2.56,0.43,0,0,0
 60-70,0,0,11.04,0,0,3.33,0,5.14,0,1.48,0,0
 72-82,0,0,0,0,0,0,0,5.1,0,0,0,0
 84-94,0,1.52,3.62,0,1.63,1.36,0,0,0,0,0,0
 96-106,0,0,1.41,0,0,7.31,0,14.57,0,0,0,0
108-118,0,0,0,0,1.49,0,0.83,7.59,0,0,0,0
120,0,0,0,2.19,0,0,0,0,0,0,0,0
