stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,14.94,480.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.34,0,0,0,0,0,0,0,0,0
  5-6,22.53,609.41,0,0,0,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0,0,0,0,7.71,0,0,0,0,0,8.98,0,0,0,0,0,0,0,0,0
  7-9,3.28,0,0,0,0,0,8.01,0,0,0,0,0,4.97,0,0,0,0,0,0,0,0,0,0,0,119.7,0,0,0,18.47,0,0,6.03,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.79,0,0,15.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403.05,46.71,0,0,101.32,0,0,5.47,0,9.52,0,0,3.51,0,0,0
 14-21,0,0,0,1.14,16.78,0.86,5.16,0,0,0,5.65,0,0,0,0,0,0,0,0,0,7.36,0,0,7.48,98.62,10.9,5.52,0,1.51,0,0,0,11.62,1.91,1.38,2.68,49.96,0,0,0
 24-34,0,0,0,0,2.25,1.93,21.35,0,0.62,0,11.38,0,0,0,0,0,0,0,0,0,14.31,0,0,6.2,171.77,0.83,10.93,2.96,0,0,0.77,0,0,1.82,0,2.36,31.68,0,0,0
 36-46,0,0,1.83,0,2.61,0,37.19,0,0,0.6,14.75,0,0,0,0,0,0,0,0,0,26.37,0,0,4.28,237.95,0,6.86,0.58,0,0,1.2,0,0,0,0,0,34.84,0,4.58,0
 48-58,0,0,0,0,0,0,83.55,0,0,0,14.17,0,0,0,3.28,0.44,0.38,0,0,0,29.47,0,1.02,1.85,240.31,0,5.28,0,0,0,0,0,0,0,0,0,27.7,0,0.42,0
 60-70,0,0,0,0,0,0,136.54,0,0,2.74,10.59,0,0,10.66,0,0,0,0.71,0,0,43.21,0,0.85,0,212.05,0,4.16,2.31,0,0,7.38,0,0,0,0,0,23.83,6.34,1.22,0
 72-82,0,0,1.05,0,4.36,0,139.36,0,0,0.54,19.94,0.72,0,0,2.57,1,0.72,0.88,1.26,0,42.9,0,1.12,0.71,234.79,0,8.62,8.93,0,0,3.17,0,0,0,0,0,10.04,1.38,0,1.31
 84-94,0,0,0,0,4.08,0.83,194.22,0,0.78,0,22.39,0,0,0.79,0,0,0.82,0,0,1.25,20.87,0,2.84,0.57,121.91,0,5.88,5.26,0,0,3.76,0,0,1.07,0,0,9.95,0,0,1.44
 96-106,0,0,2.2,0,0,0,127.28,0,0.9,0,9.81,0.56,0,1.6,1,0,0,0,2.27,0,24.55,0,0,1.04,95.35,0,6.28,7.3,0,1.47,1.59,0,0,0,0,0,3.91,0,5.71,0
108-118,0,0,3.38,0,3.53,0.48,114.7,4.79,0.6,0,16.42,0.42,0,0,0,2.91,0,2.2,0,0,22.04,1.91,1.72,1.04,147.22,0,9.33,6.77,0,0,2.33,0,0,0.43,0,0,3.19,1.37,2.73,0
120,0,0,0,0,5.2,0,198.16,0,0,0,50.87,1.12,0,0,5.02,0,1.01,0,0,0,12.48,0,15.95,3.54,255.93,3.31,13.89,5.59,0,9.36,3.57,0,0,0,0,0,0,0,0,7.37
