stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,105.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.45,0,0,0,3.49,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.61,0,0,18.1,0,0,0,0,0,12.71,0,0,0,0,0,0,0,0,0,0,0,136.93,8.57,0,0,9.19,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.84,35.56,7.94,7.83,0,0,0,0.88,11.08,0,0,0,1.3,0,0,0,6.67,28.55,0,0,10.77,72.87,4.18,0,0,0.84,0,0,3.77,1.69,1.83,4.78,40.21,0,0,0,0,1.22
 24-34,0,0.75,1.19,21.18,0.83,49.28,0,3,3.32,10.45,0.63,0,0,1.44,0.73,0.63,0,0.74,7.77,95.95,0,0.89,52.75,184.98,0.6,0.77,7,0,0,0.74,0,1.35,0,3.67,28.03,0,0,25.33,0,24.13
 36-46,0,0,0,7.65,0,83.56,1.6,9.42,2.19,44.79,1.12,0,3.24,0,0,8.66,0,0,21.99,145.08,0,0.56,32.64,237,2.9,0,3.65,0,0,1.25,0,5.39,5.17,0,37.62,0,5.7,17.39,0.78,17.75
 48-58,0,0,0,14.51,0,272.57,0,3.39,3.23,56.49,0.49,0,1.87,7.07,0.46,2.26,0.46,0,28.51,131.45,0,3.17,13.71,192.02,7.55,0.47,6.66,0,0,6.55,0,0,0,0,88.15,0,0.64,11.51,0,13.96
 60-70,0,0,0,13.04,0,490.52,0,10.37,2.93,141.27,3.13,0,0,2.37,6.72,17.91,0,0,21.77,255.29,0,6.83,22.37,182.74,0,0,9.09,0,0.84,11.33,0,2.34,0,0,90.42,0,6.43,22.15,0.81,24.41
 72-82,0,0,0,11.93,0,220.52,0.55,0,2.63,183.3,5.46,0,4.04,0,0,12.07,0.64,0,5.78,316.22,0,2.36,17.59,135.91,1.67,1.21,20.61,0,0,3.74,0,0,0,0,31.27,0,3.6,35.85,4.24,15.47
 84-94,0,0,0,15.17,0.63,316.8,8.88,5.59,3.46,172.66,5.05,0,4.87,0.55,0,18.65,0,0,30.88,193.19,0,20.77,18.18,156,2.71,0,14,0,0,12.29,0,1.29,0,0,47.79,0,4.94,36.63,0.64,18.77
 96-106,0,1.1,0,17.06,0.56,192.42,2.99,0.82,5.24,162.99,5.27,0,3.35,4.24,0,24.1,1.96,8.05,5.31,224.77,0,0,15.17,144.38,0,1.77,10.88,0,1.82,4.18,0,1.1,0,0,22.15,0,3.19,43.08,0.63,15.82
108-118,0,1.18,0.59,27.61,6.42,141.2,1.3,6.62,12.35,187.5,13.5,0,4.77,2.59,1.56,33.68,2.43,3.61,21.56,283.74,4.91,7.04,28.79,91.13,0.57,0.54,17.25,0,3.7,17.6,0,0,1.12,0,3.14,0,6.9,29.21,0.44,20.28
120,0,0,0,24.91,4.98,158.44,3.28,1.57,2.59,247.15,7.18,0,0,0,5.62,17.22,2.07,3.71,11.6,368.64,0,25.49,9.14,218.3,0,0,15.54,0,9.21,10.16,0,0,2.35,0,9.42,7.18,0,92.87,16.15,1.16
