stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,mesenchyme,mucous,neural,olfactory,periderm,spinal_cord,vasculature
  5-6,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.48,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2.28,0,0,2.03,0
 24-34,0,1.2,0,0,0,0,0,0,0,0,5.34,0,1.37,5.68,0
 36-46,0,0,0,1.39,0,0,0,0,0,0,8.4,0,9.63,6.9,0.65
 48-58,0,0,0,0.45,1.55,0,0,0,0,0,3.05,0,0.45,0,0
 60-70,0,0,0,17.85,0,0,0,0,0,0,8.33,0,0,7.25,0
 72-82,0,0,0,8.34,0,0,0,0,0,0,9.4,3.73,0,0,0
 84-94,0,0,0,3.56,0,0,0,0,0,4.34,0,0,0,4.03,0
 96-106,0,0,0.76,27.63,0,0,0,1.13,2.58,0,1.83,0,0,0,0.98
108-118,0,0,0,6.06,0,0.61,1.35,0,0,0,5.76,1.82,0,0,0
