stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.36,137.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,17.63,8.25,0,0,0,9.05,0,0,0,0,0,9.17,0,0,0,0,0,0,0,0,0,0,0,113.79,30.14,0,0,24.02,0,0,7.32,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.28,0,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0,149.07,5.66,0,0,76.13,0,0,0,0,10.84,0,0,0,0,0,0,0,0
 14-21,0,0,2.87,34.82,3.6,0,13.58,0,0,0,4.02,2.97,0,1.34,0,0,0,0,0,0,12.73,0,0,9.18,174.06,4.02,6.6,0.93,2.67,0,1.56,0,14.94,0,0,17.06,80.15,0,0,0,0,0
 24-34,0,0,1.92,15.76,0,0,26.07,0,0.7,2.27,9.16,0.67,0,0,1.02,0,0,0.71,0,0,48.92,0,0.91,9.49,405.23,0.65,0,4.55,1,0,15.27,0,0,0.7,0.6,7,113.19,0,0,8.84,0,0.62
 36-46,0,0,0.56,10.23,0,0,118.02,0.68,2.58,1.59,34.83,0.56,0,0.73,0,0,12.44,2.39,0.57,0,50.28,0,3.62,14.79,612.49,1.34,1.31,24.11,0,0,2.23,0,0,1.31,0,0,126.99,0,0.85,3.82,0,0
 48-58,0,0,0,1.59,0.45,0,104.7,0,1.38,0.7,27.34,0,0,1.97,0.56,0.5,0.39,1.25,0,0.5,45.19,0,0.4,4.6,409.02,0,1.85,3.2,4.77,1.01,2.77,0,0,0,0,0,70.5,0,0,4.03,0,4
 60-70,0,0,0,13.18,3.43,0,329.28,0,4.04,5.86,68.51,0,0,0,0,4.4,1.86,0.61,0,0,70.07,0.73,1.89,3.59,445.59,0,3.88,2.75,0,0,19.02,0,0,0,0,0,82.04,1.62,0.9,4,2.98,5.76
 72-82,0,0,0,4.93,47.31,0,171.48,0,1.26,1.18,31.77,1.07,0,1.57,0,0,3.06,1.43,0,0,58.98,1.49,6.07,3.95,259.93,1.06,7.82,0,0,0,5.95,0,0,0.97,0,0,52.53,0.81,1.38,11.11,1.2,0
 84-94,0,0,0,17.48,24.96,0,137.49,0,1.77,6.58,20.15,5.42,0,3.35,4.36,4.05,0,2.6,0,0,52.83,2.89,1.87,4.88,232.88,0.62,5.45,2,0,0,21.45,0,0,0.58,0,0,21.51,0.9,0.88,5.64,0.72,0
 96-106,0,0,0,11.59,90.75,2.12,155.42,0.87,6.49,4.63,25.19,0.77,0,0,0,0.99,0.79,0.94,0,0.71,64.56,2.08,13.58,9.59,140.18,1.05,4.73,4.04,0,0,34.73,0,0,0,0,0,17.11,0,1.88,9.67,0.72,1.09
108-118,0,0,0,12.04,44.36,0.95,82.17,0,5.64,1.93,18.51,3.87,0,0.69,3.01,1.74,1.99,2.75,1.01,0.61,53.44,0,1.83,2.76,156.59,1.66,3.11,6.94,0,0,11.12,0,0,1.8,0.41,0,6.81,0.43,3.37,1.27,3.41,0.43
120,0,0,0,28.47,47.99,1.58,64.34,0,3.08,3.72,97.77,9.87,0,0,0,0,1.11,1.34,0,0,102.47,0,9.11,3.97,240.82,7.46,0,0,0,0,23.64,0,0,0,0,0,17.52,0,0,15.34,4.5,3.6
