stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,114.51,1191.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.64,0,0,0,0,0,0,0
  5-6,48.06,1250.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.73,0,20.18,22.78,0,0,0,0,0,0,0
  7-9,26.16,22.5,21.44,0,0,0,88.48,0,0,0,60.42,0,0,0,0,0,0,0,0,0,0,677.1,47.27,226.27,0,17.61,0,0,0,0,0,0
 10-12,0,57.35,42.19,0,0,0,30.31,0,0,0,7.04,0,0,0,0,0,0,0,0,0,0,408.94,19.55,82.83,0,0,0,24.5,0,4.33,0,0
 14-21,0,0,0.93,4.09,1.02,0,3.31,0,0.9,0.97,0,0,0,0,0,0,0,0.88,0,0,3.16,16.72,0.81,2.01,2.11,0,1.9,0,1.87,4.18,0,0
 24-34,0,0,0,3.48,0,0,0.64,0,0,0,0,0,0,0,0,0.63,0,0.65,0,0,4.06,10.83,0,0,2.47,0,0,1.13,0,6.07,0,1.42
 36-46,0,0,0,0.65,0,0,2.93,0,2.29,0,0,0,0,0,0,0,0,1.82,0,0,0,7.19,0,0,5.13,0,0,0,0,1.66,0,1.52
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,3.56,0,0,0.43,5.61,0,0,0.92,0,0,0,0,0,0,0
 60-70,0,0,0,0,2.56,0,0,2.49,1.04,0,0,0,0,0,0,0,0,2.36,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0
 72-82,0,0,0,0,6.06,0,0,2.01,1.88,0,0,0,0,0,0,0,1.89,3.28,0,0.7,0,4.08,0,0,2.77,0,0,0,0,1.65,1.34,1.02
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0.83,1.18,0,0,0,0.78,0.89,0,0,8.88,0,0,2.03,0,0,0,0,0,0,0.8
 96-106,0,0,0,0,6.01,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.65,0,0,0,0,0,0,0
108-118,0,0,0.74,0,3.1,0,0,0,1.89,0,0,0.52,0,0,0.53,0,0,1.34,0,0,0,5.64,0,0,6.04,0,0,0,0,1.55,0,0
120,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.86,0,0,0,0,0,0,2.33,0,0,0,0,0,0,0
