stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,immune,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,taste,vascular.smooth.muscle,vasculature
  3-4,15.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,10.09,0,0,0,0,0,0,0,0
 14-21,0,1.15,1.66,2.24,0,0,1.13,0,0,0,16.06,0,0,0,0.85,0,0,0
 24-34,0,0,0,0,1.07,0,0.81,0,0,0.91,1.53,0,0,1.18,0,0,0,0
 36-46,0,0,0,0,0,0.56,2.33,0,0,1.11,0,0,0,5.71,0,0,0,0
 48-58,0,4.49,0,0,0,0.52,1.55,0.65,0.39,0,0,0,0,5.76,0,0,0,0
 60-70,0,0,0,0,0,0,1.61,0,0,0,0,0,0,3.09,0,0,0,0
 72-82,0,0,1.33,0,0,0,4.13,0,0,2.12,0,0,0,1.29,0,0,0,0.62
 84-94,0,0,0,0,0,4.4,2.93,0,0,0,0,0,0,2.2,0,0.57,0,0
 96-106,0,0,0,0,0,3.94,3.36,0,0,0,0,2,1.57,4.91,0,0,2.06,0
108-118,0,2.05,0,0,0,9.46,6.71,0,0,1.46,0,0,0,4.36,0,0,0,0
120,0,0,3.56,0,0,8.09,1.41,0,0,0,0,0,0,4.44,0,1.84,0,0
