stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,63.8,882.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.82,0,0,0,0,0,0,0,0,0,0
  5-6,0,378.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,20.33,13.9,0,6.55,0,0,0,14.76,0,0,0,0,8.15,0,0,0,0,0,0,0,0,0,0,0,234.39,43.59,0,0,94.04,0,16.57,17.23,0,0,0,0,0,0,0,0,0
 10-12,0,4.2,0,33.7,0,7.97,0,25.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492.33,26.7,0,0,129.22,0,0,6.03,0,21.41,0,0,0,0,0,0,0
 14-21,0,0,0,4.22,24.27,6.34,0,9.65,0,0,3.05,0,0,0,0,0,0,0,0.86,0,18.51,0,0,14.81,98.94,13.15,0,2.7,1.99,0,3.24,0,14.77,0,7.36,35.27,0,0,7.98,0,1.92
 24-34,0,0,0,1.54,12.19,0.86,0,24.84,0,0.61,8.01,0.64,0,4.28,0,0,0,0.97,3.77,3.04,60.4,0,0,26.52,357.16,2.15,7.11,1.52,0,0,11.23,0,0,2.78,3.33,56.25,0,0,56.43,0,0
 36-46,0,0,0,0,13.48,2.92,0,54.91,2.27,5.15,14.5,0,0,4.06,6.36,0,0.74,0,0,1.51,71.68,0,0.74,13.01,269.85,1.19,1.5,1.49,0,0,21.56,0,0,0,0,62.72,0,0,17.18,0,0
 48-58,0,0,0,0,2.38,0,0,80.65,6.85,1.91,33.93,0,0.37,2.18,1.98,1.92,0.51,0,0,0.87,85.17,5.65,1.69,13.04,193.31,0.44,1.7,7.49,0,0,9.57,0,0,0,0,49.91,0,0,18.97,0,9.28
 60-70,0,0,0,0,4.69,0.64,0,107.03,0.98,5.18,40.66,0,0,1.4,9.89,0,3.63,0.66,3.94,0,131.63,0,0.7,3.76,148.54,0.68,2.11,0.58,0,8.44,12.15,0,0,2.54,0,18.5,0,0,12.64,0.59,4.65
 72-82,0,0,0.88,0,8.59,0,0,94.8,3.96,1.63,33.68,2.16,0,5.91,10.89,1.16,4.64,1.04,0.8,3.74,146.51,0.79,3.27,9.74,127.47,0,0.93,1.16,0,5.42,3.68,0,0,1.12,0,9.24,0,5.31,31.58,3.05,2.94
 84-94,0,0,0,0,9.61,10.89,0,41.64,2.15,3.37,14.42,4.32,0.6,0.97,17.73,0.6,9.79,0.78,0,1.26,145.94,0,15.47,3.85,98.04,0.76,3.08,4.82,0,3.09,27.41,0,0,3.79,0,8.28,2.59,3.26,29.73,6.65,3.46
 96-106,0,0,0,0,12.75,1.23,1.6,70.57,1.24,1.07,46.3,0.59,0,5.07,17.4,0.85,2.5,0,0,0.67,90.06,0.97,2.78,6.1,134.6,1.29,2.97,4.22,0,3.61,11.4,0,0,1,0,7.42,1.97,1.21,45.76,2.34,0.8
108-118,0,0,0,1.47,19.38,2.28,0.85,77.11,4.59,5.96,26.05,10.63,0,2.52,25.05,2.47,5.93,3.93,3.02,1.65,107.5,1.27,8.89,1.85,132.67,0.47,4.84,17.71,0,5.9,11.03,0,0,0.42,0,6.52,1.11,0,32.67,0,2.5
120,0,0,0,0,16.79,4.59,0,42.15,7.39,5.84,19.47,6.78,0,1.17,9.11,1.4,19.1,0,3.29,7.52,97.28,0,0,8.57,152.69,1.29,1.11,27.8,0,0,1.15,0,0,0,0,5.58,3.57,6,24.89,8.38,0
