stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,6.39,9.99,17.41,513.66,5010.34,615.43,905.15,0,1.69,0,267.36,482.65,9.94,38.32,2.6,31.65,0,1.12,13.83,3.47,2502.27,18.82,0,2354.11,16196.09,164.03,8.68,281.23,308.37,0,89.48,4.39,859.71,457.31,436.95,1533.16,7293.36,0,0,40.59,0,0
 24-34,5.78,0,8.02,183.54,681.24,38.59,801.05,2.19,22.09,21.93,248.59,47.37,5,65.11,4.46,4.84,10.75,24.73,58.74,1.3,3488.87,1.66,7.43,1459.22,19856.55,39.18,20.92,151.83,10.77,5.57,48.84,0,16.25,223.7,38.82,183.74,8787.74,0,0,215.87,0,6.35
 36-46,0,0,0.73,16.48,95.61,2.75,381.32,0,2.44,49.97,182.45,38.53,0,13.02,0.81,2.37,30.07,5.67,56.57,9.92,2079.73,0.98,34.89,640.55,8841.85,14.75,14.38,56.83,0,1.55,15.19,0,18.15,186.3,30.8,1.57,4345.24,0,1.69,52.67,0,10.35
 48-58,1.1,0,0,1.65,38.91,3.75,209.45,0,7.85,51.4,59.76,23.45,0,3.16,0,0,0.39,0,8.8,0,886.57,0.4,25.98,248.69,1626.06,6.26,0.73,10.48,0,0,3.74,0,3.76,31.63,3.6,0,922.76,0,1.31,15.16,0,10.5
 60-70,0,0,0,0,7.21,4.26,76.23,0,3.94,30.03,38.62,28.76,0,0,0.65,5.42,4.51,5.04,20.12,0,425.64,0,22.81,72.16,381.57,0,0,20.54,0,0,2.33,0,0,8.03,0,0,227.4,0,1.33,14.05,0.98,0
 72-82,0,0,0.53,0,2.5,0.49,44.11,0,7.84,30.37,30.58,23.9,0,0.73,0,0,0,2.81,5.76,0,210.81,0,14.76,54.64,192.61,0,0,6.51,0,0,1.02,0,0,4.4,0,0,92.64,1.44,1.01,2.93,0,0
 84-94,0,0,0,0.78,3.51,0,44.9,0,0,27.42,27.73,36.69,0,2.1,3.34,0,0.74,1.23,0,0,243.78,0,9.66,36.29,245.82,0,0,0.61,0,0,0,0,0,3.05,0,0,68.16,0,1.98,0.62,2.84,0
 96-106,0,0,1.19,0,2.73,0,19.15,0,8.56,17.7,7.59,14.88,0,1.57,0,0,0,8.51,0,0,98.26,0,1.67,29.64,99.52,0,0,5.94,0,0,0,0,0,0.6,0,0,17.65,0,0.77,0,0.88,0
108-118,0,0,0,0,3.62,0,10.86,0.58,0.59,19.61,47.3,3.02,0,0,0,0,0,5.85,0,0,96.21,0,4.58,20.92,195.02,0.6,0,7.23,0,0,0,0,0,1.52,0.47,0,1.26,0,0,0,0,0.87
120,0,0,0,0,3.3,0,2.91,0,4.2,23.28,4.84,1.28,0,0,0,0,0,15.29,0,0,59.86,0,0,15.15,306.48,0,0,2.59,0,0,0,0,0,0,0,0,4.36,0,0,0,0,0
