stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,11.96,0,0,0,0,0,0,0,0,0,0,46.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32,0,0,0,0,0,0,0,0,0,0
  7-9,9.91,0,0,14.37,0,0,7.69,0,0,0,0,0,11087.55,0,0,0,0,0,0,0,0,0,0,0,51.52,49.81,0,0,22.79,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,72.97,0,107.23,0,11.01,49.3,0,0,0,0,0,49621.88,0,0,0,0,0,0,0,0,0,0,0,1900.45,14.65,0,0,542.21,0,0,0,8.73,132.17,0,16.55,12.58,0,0,0,0
 14-21,88.51,1.47,5.46,34.58,591.62,131.84,170.74,0,7.84,0,49.78,15.08,100851.82,5.14,6.42,15.15,0,0,20.92,5.47,199.17,0,0,143.44,3231.07,223.87,14.74,51.6,86.89,0,178.59,1.27,412.71,15.89,70.75,528.09,1190.43,0,40.35,0,6.26
 24-34,0,0,3.1,7.27,245.49,29.32,393.9,1.81,8.5,7.16,63.56,6.01,33368.26,13.04,19.26,25.24,1.32,3.17,56.72,13.49,256.78,13.93,0.81,130.27,3720.39,78.98,25.32,27.08,0,0.99,261.11,0,2.95,26.86,105.36,65.19,685.85,0,197.91,0,27.32
 36-46,0,0,0,0,14.37,0,62.65,0,0,0,5.55,1.77,6950.52,4.28,6.39,3.11,0.56,2.49,5.93,2.33,96.82,1.16,0,19.95,1191.27,3.09,2.5,2.66,0,0,84.39,0,0,0,0,0,68.24,0,21.63,0,12.44
 48-58,0,0,0,1.29,1.71,0,14.6,0,0,0.4,1.43,0,2359.39,0,0,0,0,0.38,0,5.01,3.01,0.81,0,0.67,94.64,0,0,0,0,0,4.17,0,0,0,0,0,19.45,0,0.61,0,0
 60-70,0,0,0,0,0.68,0,14.49,0,0,0,0.97,0.84,402.12,0,0,0,0,0,0,0,3.34,0,1.95,0,26.64,0,0,0,0,0,1.23,0,0,0,0,0,9.4,0,0,0,0
 72-82,0,0,0,1.49,2.34,0,0,0,0,0,1.07,0,155.44,0,0,0,0,0,0.5,0,10.4,1.61,0,0,6.72,0,0,0,0,0,1.44,0,0,0,0,0,0,1.32,0,0,0
 84-94,0,0,0,1.09,0,0,9.79,0,0,0,0,0,375.76,0,0,0,0,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.5,2.61,11.81,0,0,0,0,0,14.55,0,0,0,0,0,0,0,18.99,0,0,0,12.3,0,0,0,0,0,2.82,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,6,2.16,1.57,3.75,0,0,0,2.12,0.54,13.7,0,0,0,0,0,0,0,0,0,0,0,13.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0
120,0,0,0,1.28,11.44,0,0,0,0,0,0,0,0,0,0,0,0,2.13,0,0,10.76,0,0,0,0,0,0,0,0,0,2.03,0,0,0,0,0,0,0,0,0,0
