stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,immune,lateral.line,liver,mesenchyme,muscle,neural,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,19.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.42,0,0,0,0,0,0,0,0,0,0,0,0,19.02,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,11.06,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.59,0,0,0,0,0,0,0,0,7.01,0,1.1,1.81,0,0,0,1.31
 24-34,0,0.84,1.71,0,1.57,0,0,0,0,0.78,0,1.69,0.95,6.98,0,0.62,0,0,0,0.62,1.67
 36-46,0,0,0,0,0.6,0,0,2.15,0,0,0,0,0,10.2,0,0,0,0,4.33,0,0.66
 48-58,0,0,0,0,3.69,0,0,0,0,0,0,6.45,0.64,6.21,2.92,1.8,0,0,0,0,0
 60-70,0,0,0.71,0,3.06,0.58,0,2.77,0,0,0,2.22,0.59,9.24,0,0,0,0,0,0,0
 72-82,0,0,0,0,3.68,0,0,3.05,0,0,0,3.71,0,9.05,0,0,0,0,0,0,0
 84-94,0,0,0.64,0,0.72,0,0,0,0,0.58,0,1.13,0,4.82,0,0.58,0,1.21,0,0,0
 96-106,0,0,0,0,0.88,0,0,4.67,0,0,0,3.52,0,1.97,0,1.2,0,0,0,0,0
108-118,0,0,0,1.64,1.38,0,0,0,0.56,0,1.66,1.51,1.01,0.7,0,0,0,0,0,0,0
120,0,0,0,0,1.79,0,4.44,0,5.91,0,0,0,0,4.24,0,0,0,0,0,0,0
