stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,hatching.gland,immune,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,vasculature
  3-4,12240.17,259016.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4523.11,0,0,0,0
  5-6,22657.73,458019.28,124.66,0,0,0,0,0,0,244.53,0,0,0,0,2687.56,417.41,0,1042.82,4642.32,0,0,0,0
  7-9,642.78,2453.72,314.03,0,0,7079.19,0,0,0,282.13,0,0,0,0,101764.51,705.99,0,7961.2,168.51,216.53,0,0,0
 10-12,0,18.75,10.87,0,5.18,293.21,0,0,0,4.6,0,0,0,0,1629.81,8.72,0,44.11,0,154.34,0,0,0
 14-21,0,0,0,67.64,0,1.95,0,1.22,0,0,1.15,2.2,1.93,4.75,7.95,0,0,0,0,10.69,23.3,2.99,1.08
 24-34,0,0,0,23.69,0,3.25,0.68,1.61,0,0,0.69,0,0,0,2.6,0,0,0,0,0,2.28,0,0
 36-46,0,0,0,11.99,0,1.39,0,2.76,0,0,2.66,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.66,0,2.31,0,0.95,0.51,0,10.99,2.44,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,4.43,0,0.6,0,0,0,0,20.39,0,0,1.46,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,9.98,0,0,0,0,23.45,1.11,0,0,1.17,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,4.91,0,0,0,0,36.49,0,0,0,0,0,0,0,0,0,0,0,0.67
 96-106,0,0,0,0,0,5.62,0,0,0,0,36.7,0,0,0,0,0,0,0,3.03,0,0,0,0.76
108-118,0,0,0,0.48,0,1.99,0,0,0,0,45.36,0.51,0,0,5.04,0,0.64,0,0,0,0,0,3.3
120,0,0,0,0,0,0,0,0,0,0,70.01,0,0,0,0,0,0,0,0,0,0,0,0
