stage,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,neural,periderm,taste,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,7.23,0,0,0,0
 36-46,0,0,0,0,0,0,30.66,0,0,7.9,0,0,0,0
 48-58,0,0,2.95,0,0,0,3.71,0,0,10.79,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,10.2,0,2.79,0,0.95,0,0
 72-82,2.24,0,0,0,0,0,0.63,0,0,12.51,0,0,0,0
 84-94,10.82,0.58,0,0,0,0,0.74,0,0,16.9,0,0.58,2.64,0
 96-106,30.18,0,0,0,7.66,1.89,1.44,0,0,25.26,0.94,0,0,2.83
108-118,27.03,4.06,0,3.04,7.29,3.48,0,0,1.63,8.32,0,6.72,0.48,0
120,0,0,0,0,0,5.52,0,0,0,12.55,0,12.37,1.28,0
