stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,heart,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
 14-21,0,1.28,1.02,0,0,0,0,0,0,0,0,0,0,1.26,0,1.08,5.28,0.92,0,2.11,0
 24-34,0,0.69,0.81,0,1.8,0,0,0.75,0,0,0,0.88,0,4.01,0,0.69,17.88,0,0,4.17,4.54
 36-46,0,0,0,0,0.66,0,0,0,0,0,0,0.86,0,7.49,0,0,8.28,0,0,1.46,5.03
 48-58,0,0,0,0,2.89,0,0,0,0,0,0,1.12,0,2.5,0,0,8.5,0,0,0,0
 60-70,0.57,0.71,0,0,5.69,0,4.11,0,7.17,0,0,0.58,1.85,2.44,0,1.42,17.5,0,0,0,0.72
 72-82,0,0,0,0,0,0,1.74,0,0,0,2.07,3.16,0,2.15,0,0,24.19,0,0,2.36,0
 84-94,0,0,0,0,1.64,0,0,0,0,0.69,0,0,0,6.17,0,0,27.61,0,2.26,0,0
 96-106,0,2.03,1.34,0.59,1.19,0.65,5.24,0,0,0,4.98,1.15,0,9.63,0.57,0,35.96,0,0,0,4.46
108-118,0,1.29,0,0,0.68,0,3.6,0,0,0,6.81,0.86,0.68,2.21,0,0,26.78,0,2.97,0,1.96
120,0,0,0,0,0,0,0,0,2.27,0,0,7.41,0,12.9,3.31,0,57.16,0,0,0,9.96
