stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.69,3.01,59.59,16.76,0,31.48,0,0,0,15.4,3.24,0,0.89,0,1.98,0,0,1.16,0.99,29.65,0,0,17.04,429.94,2.88,3.92,8.54,16.12,0,1.75,63.23,4.98,3.4,55.2,164.7,0,0,6.99,0,0
 24-34,0,1.2,5.94,3.42,0,62.38,0,0,1.4,24.94,0.82,0,0,0,2.88,0,0.97,2.34,0,51.91,0,0,18.29,907.64,5.21,15.23,9.08,0,0,8.8,0,2.08,0,7.62,207.89,0,0,13.23,0,0
 36-46,0,0,9.8,0,0,160.66,0,3.37,5.33,29.53,1.58,0,0,5.29,0,0,0.89,0,6.99,54.99,0,0,17.89,1075.79,6.78,23.78,1.49,0,0.77,19.82,4.14,0,0,0,255.48,0,0,11.66,0,3.93
 48-58,0,0,6.56,0,0,300.89,0.58,1.61,4.11,58.57,2.76,0,1.3,0,0.38,0,3.02,4.44,8.92,96.21,0,8.83,8.95,978.02,2.76,7.36,4.08,0,0,39.4,0.92,0,0.93,0,199.04,0,1.01,7.91,0,3.58
 60-70,0,0,3.13,0,0,456.11,0,14.18,2.25,63.94,0,0,0.6,0,0,0,1.52,0,0,75.77,0,1.04,6.9,951.67,0.63,2.35,4.15,0,1.9,16.59,0,0.63,0,0,121.18,0,2.18,1.72,0,0
 72-82,0,0,3.2,7.15,0,374.02,1.65,0.71,2.07,74.51,1.53,0,0,3.46,0,0.52,0.64,1.05,0,118.97,3.05,9.85,17.88,697.71,0,12.38,2.73,0,2.36,3.58,0,0,0,0,84,0.8,1.56,21.8,1.87,0
 84-94,2.13,0,14.16,11.18,0,293.39,0.79,0,2.98,34.95,1.25,0.85,0.7,5.06,0.76,0.93,0,0,4.37,112.93,0,6.39,5.52,580.09,0,2.14,4.55,0,0.77,30.07,0,0.67,0,0,63.95,3.55,1.77,3.67,2.13,1.38
 96-106,0,0,9.01,14.97,0,265.58,0,2.22,3.21,66.88,5.3,0,0,6,3.03,3.66,5.21,3.85,2.84,90.08,1.49,2.93,13.08,407.25,0.62,8.91,9,0,0,20.3,0,0,0,0,42.65,1.59,0.72,19.88,0,1.55
108-118,1.53,0.49,18.73,4.81,0.57,216.02,0,5.67,9.53,66.68,2.85,0,0.63,3.65,2.11,4.31,2.55,1.51,1.32,114.92,0,1.75,9.2,652.75,3,4.33,7.57,0,0.91,22.66,0,0,0,0,24.71,1.13,1.35,11.25,2.79,0.48
120,0,0,19.12,1.8,1.14,172.24,0,1.17,8.55,51.25,3.72,0,0,14.46,4.27,1.17,7.51,3.99,0,109.76,0,0,4.17,628.22,2.51,4.31,13.76,0,2.76,2.61,0,0,0,0,7.77,6.72,3.79,18.95,7.36,0
