stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,34.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.22,65.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.52,0,0,6.11,0,0,0,0,0,0,0,0,0,0,0,7.66,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.36,0,2.49,7.3,0.82,0,0,0,0,0,0,0,0,3.18,0,0,2.59,1.35,0,1.39,0,2.46,5.28,0,0.84,1.86,2.57,0,0
 24-34,0,0,0,6.9,0.75,0,0,0,0.61,0,0,1.28,0,0,0.74,0,3.09,7.22,0,0,0,0,0.95,0,0.86,0,2.83,19.52,0,0
 36-46,0,0,0,12.07,0,0,0,0,0,0,0,0.68,0,0,6.26,0,0,21.36,0,0.82,0,0,10.76,0,0,0,2.2,4.26,0,0
 48-58,0,0,0,8.15,0,0,0,0,0,4.03,2.85,0.5,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,2.64,9.59,0,0
 60-70,0,0,0,17.21,0,0,0.76,1.64,0,0,0,5.84,0,0,5.33,0.6,0.9,1.93,0,0.96,0,0,5.11,0,0,0,0,3.5,0,0
 72-82,0,0,0,5.21,0,0,0,0,0,0.89,2.44,0,0,0,4.37,0.88,0,2.48,0,0,0,0,0,0,0,0,0,21.73,0,4.82
 84-94,0,0,0,4.59,0,2.01,0,0,0,0,3.78,0.8,6.24,0,2.28,1.31,0,0,0,0,0,0,1.27,0,0,0,0,5.42,2.34,0
 96-106,0,0,0,16.76,0,0.59,0,9.19,0,1.9,7.17,0.98,0,2.19,3.21,0,0,7.65,0,0,0,0,2.53,0,0,0,0,9.73,0,2.98
108-118,0,0,0,10.5,0,4.44,0.5,0,1.74,0,3.89,18.34,0,0,15.51,0.92,0,2.51,0,0,0,0.92,2.05,0,0,0,0,8.38,0,0
120,0,0,0,12.69,0,0,4.34,0,0,0,9.91,8.66,0,0,15.42,0,0,35.65,0,0,0,17.54,8.17,0,0,0,0,10.43,0,0
