stage,blastomeres,erythrocytes,eye,glial,hatching.gland,heart,immune,muscle,neural,paraxial.mesoderm,somites,spinal.cord
  3-4,23.33,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.94,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,9.95,0,5.85,0,0,0,22.44,5.36,0,0
 10-12,8.72,0,0,0,0,0,0,0,15.06,9.52,0,0
 14-21,0,0,0,0,0,0,0,0,2,0,0.8,1.06
 24-34,0,0,0,0,0,0,0,0.66,2.09,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.33
 48-58,0,0,0,2.03,0,0,0,0.45,0,0,0,0
 60-70,0,0,0,0,0,0.92,1.8,0,0,0,0,0
 72-82,0,0,0,1.45,0,0,0,0,0,0,0,0
 84-94,0,7.29,0,0,0,0,0,0,0,0,0,0
