stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,97.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.92,96.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.69,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.16,0,0,19.16,0,0,11.13,0,0,0,3.3,0,0,0,0,0,0,0,0,92.91,21.17,0,0,16.8,0,0,0,0,0,0,0,0,0
 10-12,0,9.19,0,0,0,4.69,12.31,0,0,0,0,0,0,0,0,0,0,0,0,190.48,0,0,0,56.05,0,0,8.56,0,0,0,0,0,0
 14-21,0,0,1.24,0.8,14.28,1.69,0.98,0,3.02,0,1.97,0,0,0,0,0,3.69,0,5.95,54.71,1.98,0,2.88,0.86,1,7.82,0,0,5.73,18.87,0,0,0
 24-34,0,0,0,0,0,0,1.23,0.68,0,0,0,0,0,0,8.62,0,6.83,0,2.44,28.3,0,0,0,0,3.31,0,0,0,0,7.51,0,0,0
 36-46,0,0,0.73,0,0,0,1.37,0,0.56,0,0,0,1.21,0,0,0,3.55,0,0,21.2,0,0,0,0,0,0,0,0,0,11.01,0,5.92,0
 48-58,0,0,0,0,0.41,0,10.36,0,0,0,0,0,0,0,0,0.6,2.08,0,0.45,22.09,2.08,0,0,0,3.22,0,0,0,0,4.32,0,0.42,0
 60-70,0,0,0,0,0,0,12.13,0,0,0,0,0,0,0,0,0,1.64,0,0,20.43,1.36,0,0,0,0.62,0,0,0,0,2.98,0,0,0
 72-82,0,0,0,0,0,0,9.51,0,1.12,0,0,0,0,0,0,0,1.21,0.92,0,13.81,0,0,0,0,0,0,0,0,0,1.46,0,0,0
 84-94,0,0,1.15,0,1.43,0,16.03,1.19,0,0,0,0.75,0,0,1.78,0,0,0,0,8.31,0,0,0,0,2.99,0,0,0,0,0.8,0.6,0,0
 96-106,0,0,0,0,0.85,2.89,0.99,0,2.37,0,0,1.28,0.74,0,0,0,0,0,0,14.73,0,0,0,0,0.71,0,0,0,0,0,0,2.64,0.8
108-118,0,0,0,0,1.04,0,16.41,0.69,0,2.28,0,0.58,0,0,0,0,0,0.53,0,5.42,0,1.09,0,0,1.57,0,0,0,0,0,0.43,2.85,0.59
120,0,0,0,0,0,0,3.94,0,0,0,0,0,0,1.54,0,0,3.37,0,0,0,0,0,0,0,0,0,0,1.37,0,0,0,0,0
