stage,fin.epithelia,immune,iridophores,mesenchyme,neural,olfactory,pronephros
 48-58,0,0,0,0,0.61,0,4.59
 60-70,0,0,0,1.51,0,0,0
 72-82,1.27,0,0,0,0,0.67,0
 96-106,0,0.56,0,0.57,0,0,0.7
108-118,0,0,2.25,0.54,3.33,0,0
120,0,2.43,0,0,12.94,0,0
