stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,428.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.11,0,0,0,0,0,0,0,0
  5-6,0,247.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.76,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,17.64,0,0,0,0,4.72,0,0,0,0,0,0,0,0,0,0,150.41,0,0,0,28.58,0,4.5,7.8,0,0,0,0,0,0,0
 10-12,0,17.38,0,11.22,0,7.85,0,15.95,0,0,0,0,6.61,0,0,0,0,0,0,0,0,0,0,121.23,0,0,0,36.28,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,21.53,7.8,0,0.92,0,0,0,0,0,0,4.59,0,0,0,0,2.71,0,0,2.02,64.95,0,0,0,0,0,3.9,0,4.98,0,7.01,9.24,0,0,0
 24-34,0.88,0,0,0,23.2,1.04,0,0.68,2.03,0,1.62,0,0,0,22.77,0,0,0,0,4.79,0,0,5.29,59.88,0,0,4.41,0,0,26.99,0,0,0.94,0,6.47,10.25,0,0
 36-46,0,0,0,0,51.7,0,0,0,6.99,0,3.82,0,0,0.87,20.96,0,0,0,0,10.5,0,0,2.34,18.77,0,0,0,0,0,24.23,0,0,0,0,4.12,5.23,0,0
 48-58,0,0,0,0,28.8,0,0,6.86,1,0,2.34,0.68,0,0,52.33,0,0,0,0,3.75,0,0,1.8,12.86,1.2,0,0,0,0,24.63,0,0,0,0,8.09,17.59,0,0
 60-70,0,0,0,0,33.7,0,0,2.04,4.75,3.82,2.49,1.47,0,0,59.82,0,0,6.19,0,7.95,1.83,0.63,0,25.48,0,1.33,0,0,0,15.38,0,0,0,0,0,1.99,0,0
 72-82,0,0,0.68,0,30.81,0,0,4.21,2.71,5.85,4.68,7.19,0,0,83.6,0,0,0,0,11,1.18,1.39,3.04,19.56,0,0.53,0,0,2.23,17.93,0,0,0,0,11.17,6.84,0.93,8.95
 84-94,1.23,0,0,0,65.57,0,0,2.48,1.81,0,0,3.39,0,0,112.48,0.68,0.6,1.95,0,26.85,0.62,2.47,3.23,14.37,0,0,0,0,0,96.17,0,0,0,0,0,2.53,0,0
 96-106,0,0,0,0,55.19,5.99,0,2.29,7.64,3.94,6.44,8.89,0,3.1,107.13,0,2.1,16.15,0,34.18,0,0,3.36,24.09,0,0,0.66,0,3,75.6,0,0,0,0,0,3.18,0,3.33
108-118,0,0,3.74,0,67.51,0,2.14,1.47,13.61,0,6.63,8.1,0,0.93,74.13,0.86,0,1.15,1.8,35.27,0.71,2.82,3.61,28.05,0.62,0.53,0,0,0,62.88,0,0,0.54,0,0,19.6,0,0
120,0,0,0,0,83.32,0,0,0,9.31,11.89,44.12,9.04,0,0,169.26,3.55,0,4.74,0,43.56,5.65,26.6,0,43.32,0,0,0,0,0,24.55,0,0,0,0,0,1.56,0,0
