stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,34.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.09,0,0,0,0,0,0,0,0,0,0,6.51,0,0,0,0,0,0,0,0,0,0,0,31.47,5.62,0,0,17.84,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.19,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,9.48,1.14,0,1.13,0,0,0,5.26,0,0,0,0,0,0,0,0,0,5.51,0,0,5.31,49.58,0,0.87,1.12,4.1,0,14.7,4.24,0,9.18,18.58,0,1.1,0
 24-34,0,0,2.1,0,0,0.62,0,0,0,0,0,0,0,0,0.68,0,0,0,0,8.15,0,0,2.8,28.15,0,1.19,2.63,0,0.7,0,4.13,0,0.88,6.04,0,0,0
 36-46,0,0,4.53,0,0,16.39,2.61,4.4,0.81,1.9,0,0,0,0,0.63,0,0.81,1.44,0,11.62,0,0,3.81,81.42,0.56,1.2,7.36,0,6.26,0,0,0,0,11.2,0,1.07,0
 48-58,0,0,18.25,0,0,13.39,0,0.39,0,0.98,0,0,0.55,0,0,0,0,0,0,3.24,0,0.69,0,15.83,0,0,0,0,0,0,0,0,0,10.8,0,0.56,0
 60-70,0,0,6.3,2.21,0,9.08,1.8,0,0,0,2.2,0,0,0,0,0,10.16,0,0,2.15,1.91,0,0.68,12.41,0,0,3.28,0,10.74,0,0,0,0,1.36,0,0,0
 72-82,0,0.87,1.44,0,0,3.1,0,0,0,5.18,1.61,0,0,0,1.58,0,0,0,0,11.78,0,0,0,14.8,0,2.25,1.78,0,1.6,0,1.52,0.79,0,2.25,0,0,0
 84-94,0,0,7.52,4.56,0,2.3,0,0.68,0,7.05,4.07,0,0,0,0,0,0.69,0,0,10.22,0,1.13,0,12.42,0,1.41,2.28,0,2.01,0,0,0,0,0,1.01,0,0
 96-106,0,0.99,2.53,0,0,0.88,0,0,3.38,4.54,1.64,0,0,5.73,0,0,2.37,0.6,0,5.74,0,0,0.68,6.15,0,0.76,4.74,0,2.23,0,0.7,0,0,1.39,0,0,0
108-118,0,0,7.22,0,1.22,9.14,0,0,0,3.87,0.47,0,0,0,5.5,0.74,1.02,0.53,0.5,23.21,0,0,2.46,27.47,0,0,4.05,0,2.22,0,0,0.42,0,0,0,3.41,6.64
120,0,0,25.93,0,0,0,0,1.58,0,4.53,0,0,5.18,0,0,0,10.58,0,0,0,0,0,0,5.77,0,0,2.63,0,1.26,0,0,0,0,0,0,0,0
