stage,blastomeres,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fast.muscle,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9,3.24,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,5.45,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,7.13,3.4,0,0,0,0,0,0,1.15,0,0
 24-34,0,0,0,0,10.07,0,0,0.73,0,0,0,0,0,0,0,0.89,29,0,1.5,0,0,0,2.55,0,3.83,0,0
 36-46,0,0,0,0,11.38,0,0,0,0,0,0,0,0,4.03,0,0,53.94,2.72,0.59,0,0,0,1.34,0,7.01,0,0
 48-58,0,0,2.07,0,13.8,0,0.73,0,0,0,0,0,0.37,1.91,0,0,58.38,1.93,0,0,0,0,2.22,0,3.47,0.51,2.17
 60-70,0,0,1.93,0,35.29,0,0.57,0,0,0,0,0,1.96,0,0,1.61,15.01,0,0,1.56,0,0,3.44,0,8.4,0,0
 72-82,0,0,0,0,11.93,0,0.54,0,0.74,0,0,0,0,6.01,0,0,27.4,0,0.7,0.97,0,0,0,0,0,0,0
 84-94,0,0.56,0,0,7.35,1.17,0,5.14,0,0.72,0,0,0,0,0,0,21.31,0,0,0,0,0,7.73,1.21,0,0,0
 96-106,0,0,0,0,1.3,0,0.6,0,0,0,0,0,0,3.27,0.59,0,15.08,0,0,0,0,1.51,3.44,0,0,0,0
108-118,0,0,0.93,1.67,7.87,0,2.58,0.7,0,0,2.22,0,0,0.83,0,0,17.99,0,0,0,0,0,0,0,2.33,0,0
120,0,0,5.97,1.71,3.71,0,13.53,0,0,0,0,1.01,0,2.27,0,0,34.78,0,0,0,0,0,0,0,0,0,0
