stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,heart,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,xanthophores
  3-4,26.5,493.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.51,0,0,0,0,0
  5-6,28.79,526.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.1,4.13,0,0,16.3,0,0,17.88,0,0,0,0,0,0,0,0,418.44,4.41,0,129.33,16.86,0,0,0,0,0
 10-12,0,16.21,12,0,0,32.32,0,0,4.88,0,0,0,0,0,0,0,0,303.32,5.72,0,66.47,10.78,0,26.26,6.05,0,0
 14-21,0,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72,0,0,0,0,1.75,0,2.7,3.42,0
 24-34,0,0,0,0,0,0.71,0,0,0,0,0,0,0,1.34,0,0,2.42,17.38,0,0,0,0,0,0,0,5.6,0.73
 36-46,0,0,0,0,0,0.59,0,0,0,0,0,0,0,3.94,0,0,0,13.78,0,0.61,0,2.03,0,0,0,2.13,0
 48-58,0,0,0,2.99,0,11.14,0,4.13,0,1.06,0,0,2.08,1.81,0,0,0,12.8,0,0,0,1.03,0,0,0,3.76,0
 60-70,0,0,0,0,0,15.45,0,0,0,0,0.63,0,0,1.96,0,0,0.83,9.7,0,0,0,0,0,0,0,0.88,0
 72-82,0,0,0,1.14,0,2.55,0,2.02,0,0,0,0,0,1.37,0,1.13,0.63,7.26,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.86,6.77,0,3.36,0,0,0.75,0,0,0,0,0,0,1.85,0,0,0,3.99,0,0,0,0,0
 96-106,0,0,0,0.61,0,1.29,0,0.93,0,0,0,0.59,0,0,0.81,0,0,5.94,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,6.89,0.76,0,0,0,1.37,0,0,1.85,0,0,0,0.88,0,0,0,0,0,0,0,0,0
120,0,0,0,4.84,0,5.42,0,0,0,0,3.86,0,0,0,0,0,0,14.51,0,0,0,0,0,0,0,0,0
