stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,4.12,0,0,0,0,0,0,0,0,0,0,0,0,27.33,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,20.71,0,0,0,14.36,0,0,0,0,0,0,0,0,0
 14-21,0,6.01,0.83,1.76,0,0,3.85,0,0,0,2.74,0,1.1,58,0,0,0,1.12,0,0,3.72,1.22,14.12,0,0,0,0
 24-34,0,0,0,5.18,0,0.89,2.5,0,0,0,4.79,0,1.98,59.62,0,3.75,0,0,0,0,1.24,3.98,31.42,0,0,2.77,0
 36-46,0,0.98,0,13.6,0,0,2.37,0,0,0,4.67,0,0.61,77.44,0,0.99,0,0,0,2.79,0,0,12.16,0,0,0,0
 48-58,0,0,0,23.14,0,0,3.14,0,0,0.4,8.31,0,0,48.72,0,2.62,0.8,0,0,0,0,0,15.27,0,0,1.39,0
 60-70,0,0,0,26.74,0,0,8.16,0,0,0.73,3.93,0,0,49.22,1.17,4.17,0,0,0,0,0,0,24.43,0,0,1.09,0
 72-82,0,0.81,0,31.74,1.52,0,14.68,0,0,0,7.42,0,0,54.97,0,0.67,0.95,0,0,0,0.57,0,9.64,0.92,0,0.49,0
 84-94,0,0,0,13.08,0,0,4.99,0,0,0,6.3,0,0,14.49,0,9.74,2.5,0,0,0,0,0,5.83,0,0,0,0
 96-106,0,0,0,15.97,0,0,11.25,0,1.06,0,19.37,0,2.59,23.87,0,0.94,0,0,0,0,0,0,5.5,0,0,0,2.94
108-118,0,0.59,0,26.56,0,0,8.3,0.85,0,0,7.96,1.05,0.65,24.46,0,8.01,2.68,0,2.43,0,0,0,0,0,1.35,0,0
120,0,0,0,21.65,0,0,3.86,0,0,0,5.56,0,1.91,9.36,0,0,2.11,0,0,0,5.04,0,0,0,0,0,0
