stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vasculature
  5-6,29.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.42,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.22,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,8.42,0,0,0,0,0,0,0,1.17,0,0,13.12,0,0,1.13,8.68,0,0,0,0,3.29,0,0,0
 24-34,0,0,3.35,1.64,0,0,36.57,0,0.94,1.13,1.06,0,13.05,0,12.01,0,0,35.81,3.7,0.89,5.86,24.15,4.99,0,0,1.54,1.27,2.97,0,0
 36-46,0,0,0,0,0,0,14.7,0,0,12.79,1.22,0,15.5,0,13.84,0,0,32.36,2.73,0.74,1.78,58.78,0,0,0,3.13,0,1.82,0,0
 48-58,0,0,0,0,0,0,22.21,0,0,26.95,3.78,2.21,2.63,0,0.98,0,0,15.7,5.6,0.6,8.3,35.33,1.3,0,6.95,0,0,2.92,0,0
 60-70,0,0,0,0,0,0,61.11,0,1.24,15.72,2.72,2.14,0,0.95,0,0,0,6.83,17.78,0,0.6,29.93,0,0,0,0,0,0,0,0
 72-82,0,2.07,0,1.16,0,0,118.13,0.9,0,36.42,3.31,24.97,3.05,0,2.29,0,0,5.16,7.13,1.23,1.48,46.79,0,0,1.56,0.51,0,0,1.01,0
 84-94,0,2.01,0,1.06,0,0,154.89,0,0,22.36,0.56,56.57,0,4.03,7.39,1.2,2.99,11.39,6.81,0,1.32,38.57,0,0,0,0,0,0,0.74,0
 96-106,0,4.56,0,4.42,5.6,0,89.19,0,0,23.64,16,116.8,0.75,4.71,10.91,0,0,2.1,35.44,0,0,89.54,2.45,0.83,2.39,0,0,0,6.37,3.6
108-118,0,3.81,0,6.19,7.98,0.55,87.41,0,0,14.56,5.95,188.3,1.9,2.31,12.85,0,0,4.99,20.89,0,2.08,82.66,0.46,0,0.44,0.61,0,0,9.98,0
120,0,17.51,0,31.81,0,0,96.85,0,0,37.21,15.02,126.14,0,7.43,19.76,2.29,19.08,11.72,14.18,0,5.56,145.52,0,0,5.37,0,0,0,13.26,0
