stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,33.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.13,0,0,0,17.82,0,0,0,0,0,0,0,0,0,0,0,0,0,202.09,5.15,0,0,44.34,0,0,0,19.66,0,0,3.28,0,0,0,0,0
 14-21,0,3.33,0,11.94,0,0,4.83,0,1,0,51.34,1.08,0,0,0,0,0,6.93,0,2.73,100.35,1.17,0,16.9,7.24,0,0,4.14,50.56,0,5.95,173.52,0,0,0.91,0,0
 24-34,0,0,0.76,4.19,0,0,8.67,0,0,0,38.65,0,0,0,0,1.01,7.68,4.73,0,3.57,95.43,0,26.24,3,0,0,0,0,17.11,0,5.07,96.28,0,0,6.46,0,0
 36-46,0,0,0,0,0,0,9.27,0,1.17,0,32.9,1.58,0.71,0,0,0.57,0,8.82,0,0.56,73.33,0,33.9,7.1,0,0,0.99,0,9.02,0.58,0,79.15,0,0,0.91,0,7.97
 48-58,0,0,0,0.42,0,0,14.06,0,0,0,34.76,0,0,0,0,2.92,0,11.74,0.46,1.83,51.78,0,15.73,3.97,0,0,5.28,0,3.97,0,0,61.09,0,0,2.19,0,0
 60-70,0,0.7,0,0,0,0,20.02,1.02,0,0,50.23,0.75,0,0,0,3.42,0,20.13,0,0.58,32.53,0,12.59,6.12,0,0,0,0,1.06,0,0,21.98,0,0,2.9,0,0
 72-82,0,0.69,0,1.21,0,0,15.57,0,1.61,0,54.99,1.16,0,1.18,0,5.61,0,25.17,0.9,1.14,43.26,0,29.44,9.75,0,0,2.76,0,0.84,0,0,30.31,0,1.44,2.89,1.26,0
 84-94,0,0,0,9.12,0,0,17.76,0,2.05,0,73.18,1.31,0,0.82,0,4.49,0,6.15,0.8,0.91,24.5,0,17.45,8.71,0,0.57,0.91,0,1.64,0,0,24.75,1.17,4.46,0,0.98,0
 96-106,0,0,0,0,0,1.71,19.23,0,0,2.03,43.32,0.67,0.76,1.41,0.67,7.69,0,10.08,1.96,1.76,23.62,1.15,53.77,19.79,0,0,6.05,0,1.66,0,0,16.22,0,0,0.73,0,6.84
108-118,0,0,0.74,3.36,0.94,0,7.28,0,2.62,0,17.99,2.07,0.69,0,0,6.74,0.82,16.42,6.75,1.78,16.05,0,22.1,20.04,0,0.76,0,0,3.28,0,0,13.47,0.55,0,1.4,0,0
120,0,0,0,1.35,0,0,5.1,1.25,2.08,0,51.01,0,0,0,2.23,0,0,13.31,26.37,0,65.46,0,24.58,10.8,0,0,1.17,0,7.07,0,0,5.18,0,0,5.76,0,0
