stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.33,0,0,0,5,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,5.81,0,0,0,0,0,0,0.91,1,0,0,0,0,0
 24-34,0,0,0,2.73,0,0,0,1.05,0,0,0,0,0,0,0,0,0,5.19,0,1.25,1.32,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05,0,6.52,0,0,0,0,0,3.34,0,0,0,0,0
 48-58,0,0,0,34.76,0,0,0,0,0,0,0,0,0,0.4,0,0,0,4.19,0,3.21,0,0,0,1.21,0,4.17,0,0,0,0,0
 60-70,0,0,0,853.04,0,0,0,3.99,0,0,0,0,0,3.59,2.4,0,4.58,6.04,0,2.51,0,0,0,0,0,26.22,0,0,0,0,0
 72-82,3.36,0,0,2568.88,2.7,0,2.39,27.91,0,0,0.64,0.53,0,2.16,9.01,0,0,95.05,0,1.05,0,0,0,0,0,38.67,0,3.83,2.74,0.76,0
 84-94,0,1.3,0,1662,0,0,0,38.69,0,0,0,0,0,9.69,5.06,5.36,1.01,52.34,0,2.97,0,0,1.59,0.74,0,10.11,0,0,1.68,0,0
 96-106,6.34,1.27,1.05,2717.45,0,0,0,48.62,1.44,0.75,0,1.9,10.79,1.03,22.8,0,2.43,70.14,0,2.09,0,0,3.98,6.5,0,15.71,0,0,0,0.59,2.25
108-118,10.11,0,0,2777.6,0.67,0.52,0.94,38.25,0.45,3.68,0,1.01,4.19,8.98,28.26,0,3.03,86.11,2.99,2.43,1.83,0,0,6.14,0,0,0.71,0,0,0.57,2.33
120,0,0,0,1353.05,1.01,0,4.68,116.55,0,2.71,0,11.36,19.69,0,15.49,0,2.55,164.4,0,3,0,0,0,7.37,0,17.92,0,0,0,2.01,0
