stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,iridophores,melanocytes,mesenchyme,muscle,neural,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,23.18,0,0,0,0,0,0,0,0,0,0,7.09,7.75,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,6.68,0,0,0,0,0,0
 10-12,4.38,0,0,0,0,0,0,0,0,0,0,21.72,0,13.8,0,0,0,0
 14-21,0,3.52,3.17,0,0,0.84,0,0,0,3.34,0.81,7.88,0,1.46,1.02,1.31,0.85,0
 24-34,0,0.64,0.69,0,0,0,0,0,0,1.22,0,11.76,0,0,0,1.56,2.26,0
 36-46,0,0,0,3.48,0,1.43,0,0,0.7,4.51,0,5.19,0,0.7,0,0,0,0
 48-58,0,0,0,1.06,0,0.48,0.73,0,0,2.41,0,3.49,0,0.43,0,1.3,0,0
 60-70,0,0,0,0.87,0.87,0,1.11,0,0,2.8,2.18,3.69,4.21,0,0,0,0,0
 72-82,0,0,0,0,0,7.83,18.21,0,0,1.03,0,3.43,0,0,0,0,0,4.17
 84-94,0,0,0,5.53,1.19,2.21,6.93,0,0,1.56,0.57,0,0,0,0,0,0,1.09
 96-106,0,2.54,0,6.62,0,3.38,110.93,0,0,0,0,7.91,0,0,0,0,0,0.68
108-118,0,0,0,1.78,0.8,2.49,199.36,0.58,2.01,3.97,1.35,11.78,0,0.41,0,0,3.57,0
120,0,0,0,0,0,0,457.96,0,0,0,0,36.91,0,0,0,0,10.09,7.28
