stage,epidermis,eye,glial,iridophores,melanocytes,mesenchyme,neural,olfactory,periderm,spinal_cord
  7-9,0,0,0,0,0,0,9.38,0,0,0
 14-21,0,0,0,0,0,0,1.69,0,0,0.98
 24-34,0.7,0,0,0,0,0,1.05,0,0,0
 36-46,0,0,0,0,0.71,0.61,0,0,0,0
 48-58,0,0.93,0.9,0,0,0,1.41,0,0.68,0.5
 60-70,0,0,0.6,0,0,1.42,0,1.09,0,0
 72-82,0,0,0.89,0.52,0,0.61,0,2.71,0,0
 96-106,0,0,0,0,0,1.38,0,4.17,0,0
108-118,0,0,0,0,0,0,0,3.7,0,0
