stage,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,olfactory,pericytes,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,5.89,0,0,0,0,0,0,0,0.84,0,1.33,10.29,0,0,0,1.01,5.51,0,0,0,0
 24-34,1.46,0,0,0,1.55,0,0,0,3.65,4.07,0,2.19,58.13,0,0,0,0,16.06,0,1.44,0,0
 36-46,0,0,14.39,0,1.8,0,0,0,0,10.59,0,0.9,171.61,1.63,0,0,0,37.63,0,1.86,0,0
 48-58,0,0.83,27.83,0,10.11,0,0,0,0,9.05,0,0.4,163.72,0,0,0,0,60.89,0,0,0,0
 60-70,0,0,106.71,0,5.3,0,0,0,0,29.99,0,1.36,200.39,0,0,0,0,35.73,1.22,6.23,1.25,0
 72-82,0,2.18,87.45,0,15.14,0.65,0,0,0,29.44,0,0.55,184.64,2.8,0,0,0,21.3,0,4.49,0,0
 84-94,0,0,63.6,1.36,2.46,0,0,0,0,16.72,0,1.66,148.02,2.33,0,0,0,17.26,0.66,1.96,0,1.57
 96-106,0,1.52,37.18,0,11.32,0,1.46,0,0,15.13,1.32,3.01,75.52,0,0,0.72,0,6.67,0,0.62,0,0
108-118,0,0.44,55.83,1.04,6.64,0,0.95,0,0,24.46,0.45,0.48,102.99,0,0,0,0,3.09,0.52,13.93,0.57,0
120,0,0,35.21,0,5.52,0,0,1.97,0,24.5,10.49,0,73.94,0,5.5,0,0,0,0,0,0,0
