stage,axial,blastomeres,endoderm,eye,glial,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord
  3-4,12.66,1220.21,0,0,0,0,0,0,0,0,51.25,0
  5-6,35.86,1301.38,13.2,0,0,0,0,14.48,0,18.53,23.04,0
  7-9,11.67,0,24.47,47.91,0,0,0,344.68,0,36.03,0,0
 10-12,0,0,0,0,0,0,0,12.77,4.28,16.7,0,0
 14-21,0,0,0,0,0,0,0.82,0,0,0,0,1.01
 24-34,0,0,0,0.91,0,0,0,4.72,0,0,0,2.1
 36-46,0,0,0,0,0,0,0,2.72,0,0,0,0
 48-58,0,0,0,0.42,0,0.49,0,0,0,0,0,0
 60-70,0,0,0,0,0.7,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,7.1,0,0,0,0
 96-106,0,0,0,0,0,0,0,2.25,0,0,0,0
