stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.61,148.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.68,378.85,0,0,0,0,0,0,0,0,0,0,24.79,0,0,0,0,0,0,0,0,0,0,0,71.33,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.7,0,0,5.35,0,0,6.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.47,3.56,0,0,34.65,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.59,0,14.33,0,0,5.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.62,12.32,0,0,51.99,0,0,0,13.87,0,0,0,0,0,0,0
 14-21,0,0,0,1.01,32.79,12.72,5.51,0,2.3,0,0.89,0,0,0.89,0,0.81,0,0,0,0,7.71,0,0,7.28,80.1,4.25,0,0.81,1.19,0,3.71,9,0,17.83,33.21,0,0,3.35,0,0
 24-34,0,0,0,0,7.74,0,12.6,0,2.5,0.92,6.32,0.77,0,0,0,2.66,0.85,1.26,0,0,26.64,1.51,0,10.95,207.97,1.26,1.47,1.35,0,0,12.66,0,3.83,0,36.59,0,0,8.65,0,0
 36-46,0,0,0,0,1.08,0,31.3,0,1.35,0,2.24,0,0,0,0,0,0,0,11.33,2.61,25.58,0,0,5.07,117.57,0,7.91,1.62,0,0,28.84,0,0,0,18.58,0,0,0,0,1.05
 48-58,0,0,0,0,13.85,0.45,95.94,0,2.95,2.28,27.85,0.38,2.12,2.85,0,0,0,0.56,0,0,30.76,0,0,16.34,195.92,0,3.43,0.79,0,0,5.06,0,1.46,0,34.53,0,0,8.45,0,0
 60-70,0,0,0,0,19.29,0,81.28,0,14.82,0.76,9.93,0,0,0.88,0.76,0,0,0.73,0,0,35.36,6.47,0,3.17,100.93,0,1.08,0,0,1.19,10.97,0,0,0,17.28,0,0,0,0,0
 72-82,0,0,0.93,0,4.44,0,155.2,1.48,0,1.47,34.8,2.72,0,4.05,1.1,1.44,2.27,3.77,1.17,0.5,86.97,0,2.23,2.68,111.61,0.53,7.98,8.58,0,0.89,3.12,0,0,0,20.93,0,2.58,7.56,0,0
 84-94,0,0,1.2,0,19.89,8.67,110.54,0,0,0.6,22.7,1.93,1.23,1.22,9.24,0.55,0.62,3.3,0.58,0,63.7,0,2.68,7.66,148,1.33,0.61,5.07,0,0,10.46,0,2.8,0,16.72,0.83,3.09,10.61,3.22,16.05
 96-106,0,0,0,0,5.9,3.36,72.1,0,0.63,0,19.98,5.12,0,1.3,10.46,2.14,1.03,3.54,6.81,0,59.76,6.6,4.64,8.13,115.11,7.51,7.55,5.79,0,6.5,9.5,0,0.82,0,4.08,0,3.05,13.54,5.6,0
108-118,0,0,0,0,5.59,0.59,88.92,0,1.95,5.36,37.53,0.48,0,0.92,7.26,1.14,6.29,2.55,1.35,0,72.29,0.57,1.95,6.53,123.37,0.46,6.26,1.51,0,0,3.45,0,0.52,0,21.89,2.83,1.42,14.65,3.19,1.18
120,0,0,0,0,12.93,5.66,77.76,0,9.97,1.6,64.52,0,0,0,7.08,5.59,0,2.98,8.77,0,47.77,0,8.29,4.4,213.32,0,14.8,6.32,0,0,7.5,0,0,0,4.8,0,10.44,18.72,0,8.94
