stage,blastomeres,epidermis,eye,glial,gut,immune,lateral_line,liver,mesenchyme,mural_cell,neural,olfactory,otic,periderm,spinal_cord,vasculature
  3-4,28.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.89,0,0,0,0,0,0,0,0,0,8.93,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0
 24-34,0,0,0,0,0,0,1.59,0,0,0,0,0,11.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,7.2,2.12,6.54,0,0,0
 48-58,0,0,0,0,0,0,2.75,0,0,0,2.32,0.86,7.36,0,0,0
 60-70,0,0,2.05,1.23,0,0,10.24,0,0,0,5.19,0.73,30.94,0,1.86,0.75
 72-82,0,0,4,0.68,0,2.07,10.58,0,0,1.17,5.19,2.45,40.02,0,0,0.89
 84-94,0,0,4.08,0,0,3.16,13.72,0,0.97,0,22.08,0,33.1,0,0,2.72
 96-106,0,0.77,0.96,0,0.68,7.07,43.19,0.63,2.1,0,0.82,4.34,35.05,0,0,5.65
108-118,0,0,4.88,0,0,7.25,17.69,0,3.44,0,15.01,2.99,20.08,0.54,0,2.35
120,0,0,0,0,0,16.65,28.81,0,0,0,4.14,0,65.98,0,0,5.46
