stage,blastomeres,endoderm,eye,muscle,neural,spinal_cord
  5-6,35.67,0,0,0,0,0
  7-9,0,5.02,5.97,0,12.08,0
 10-12,0,0,0,0,3.59,0
 24-34,0,0,0,0.65,0,1.61
 48-58,0,0,0.63,0,0,0.65
