stage,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.63,0,7.58,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.78,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,3.37,0,2.16,0,0,0,0,0,0,0,0
 24-34,0,0,0.63,0,0,0,1.44,0,0,0.66,0,0.72,0,1.69,4.63,0,0,0,0.78,0.77
 36-46,1.82,0,0,0,0,0,0,0,0,0,0,0.81,0,0,9,0,0,0,0,0
 48-58,1.04,0,0.37,0,2.79,0,1.05,0,0,0,0,2.86,0,0,9.39,0,0,0,0.93,0
 60-70,2.48,0,2.91,0,1.21,0,0,6.06,0,0,8.4,1.96,0,0,26.66,0,0,0,1.24,0
 72-82,32.01,3.22,0.86,0,0.59,0,6.03,0,0,0,1.8,2.14,1.14,0,19.18,0,0,0,0,1.91
 84-94,1.28,0,0.97,0,2.65,1.46,15.1,0,0,0,0,2.84,0,0.91,12.64,6.54,0,0,0,2.01
 96-106,9.12,0,0,0,0,0,5.4,0,0,0,0,0,0,0,2.28,0,0,1.3,0,7.34
108-118,12.29,0,0.59,1.23,0,0,5.6,0,0,0.43,7.47,6.9,0,0,14.86,0,0,0,0,1.46
120,3.14,0,0,0,0,0,12.21,0,3.57,0,0,15.61,0,0,55.82,0,0,0,14.31,0
