stage,blastomeres,epidermis,eye,glial,gut,mesenchyme,neural,paraxial.mesoderm,periderm,pronephros,slow.muscle
  3-4,23.76,0,0,0,0,0,0,0,13.28,0,0
  7-9,0,0,0,0,0,0,0,4.96,0,0,0
 14-21,0,1.53,0.99,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.77,0,2.08,0,6.46
 48-58,0,0,0,0.74,0,0.49,0,0,0,0,0
 60-70,0,0,0,0,0,1.15,0,0,0,0,5.37
 72-82,0,0,0,0,0,0,8.93,0,0,0,3.1
 84-94,0,0,0,0,0,0.56,0,0,1.81,0,3.37
 96-106,0,0,0,0,8.34,0,5.91,0,0,0.61,4.89
108-118,0,0,3.37,0,25.33,2.36,5.1,0,0,0,1.91
120,0,0,0,0,33.3,0,0,0,0,0,0
