stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord
  3-4,0,165.84,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,272.45,834.83,23.46,0,0,7.74,44.2,29.52,47.53,17.14,0,0,0,0
  7-9,230.78,147.64,192.92,5.95,426.95,37.39,2935.81,256.27,2015.31,4.34,7.58,0,0,0
 10-12,0,109.11,214.29,36.81,431.68,33.74,4654.27,197.11,1266.31,6.13,4.8,4.43,90.02,4.47
