stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,74.32,1894.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.23,0,0,0,0,0,0
  5-6,100.1,1872.36,0,0,0,0,0,0,0,0,0,0,23.74,13.98,0,0,0,0,0,0,0,0,0
  7-9,6.19,0,0,0,0,0,28.03,0,0,0,0,0,264.24,11.39,0,72.81,0,43.19,0,0,0,0,0
 10-12,0,0,0,0,0,0,11.62,0,0,0,0,0,53.36,0,0,0,0,9.99,0,17.15,0,0,0
 14-21,0,0,0,0.93,1.89,0,0,0,0,0,2.42,3.05,6.12,0,0,0,0,0.9,0.93,0,6.23,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.99,0,5.97,0,0,0,0,2.57,0,0,0.64,0,0.98
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.71,0,0,0,10.06,5.38,0,0,1.24,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,7.16,0,5.27,0,0,0,0,0.65,0,0,0,0,0
 60-70,0,0,0,1.42,1.08,0,3.03,0,0,1.6,0,0,0,0,0,0,0,0.64,0,0,4.4,0,0
 72-82,0,0,0,0,0,0,1.08,0.5,3.56,0,0,0,10.06,0,0,0,0,0,0,4.36,0,0,0
 84-94,0,0,0,0.66,0,0,8.8,0,6.58,0,0.97,0,2.6,0,0.86,0,0,0,0,3.68,0,0,0
 96-106,0,0,0,4.55,0,0,4.29,0,4.5,0,0,0.79,0,0,0,0,0,5.8,0,1.81,0,1.22,0
108-118,0,0,7.36,0,0,1.38,0,0,1.25,0,0,0.63,5.9,0,0,0,0,5.51,0,1.16,0,0,0
120,0,0,0,0,0,0,2.84,0,0,0,2.24,0,0,0,0,0,0,6.13,0,3.12,4.02,0,0
