stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,19.4,149.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,0,0,0,0,0
  5-6,37.45,471.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.19,3.7,0,3.91,0,0,55.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266.49,30.03,0,0,60.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.23,0,18.36,0,0,62.3,0,0,0,0,0,6.38,0,0,0,0,0,0,0,0,549.11,32.58,0,0,94.78,0,0,0,16.14,0,11.22,5.32,0,0,0,0
 14-21,0,0,0,0.93,28.58,0,5.68,0,0,0,28.04,0,0,0,0,0,0,0,12.53,0,7.65,113.3,2.58,0,0.8,3.93,0,0,9.04,5.2,1.65,6.74,102.4,0,0,0,0
 24-34,0,0,0,0,8.23,0,6.92,0,0,0,23.79,0,0,0,3.16,0,3.23,0.77,13.87,0,10.29,96.34,0,11.12,3.72,0,0,2.84,0,6.42,0.82,3.37,54.71,0,1.24,0,0
 36-46,0,0,0,0,3.53,0,2.23,0,1.39,0.64,36.53,0,0,0,0,0,1.29,0,21.26,0,2.79,81.79,4.59,19.68,7.41,0,0,27.21,0,14.05,0,0,56.65,0,1.1,0,0
 48-58,0,0,0,0,3.3,0,12.56,0,0,0.42,35.42,0,0,0,0,0,5.85,0,16.02,2.1,4.15,24.78,0,9.96,8.98,0,0,3.65,0,1.17,0,0,53.56,0.61,0,0,0
 60-70,0,0,0,0,6.54,0,6.56,0,1.5,1.77,49.44,2.49,0,0,0,0,3.72,0,27.5,0,0.6,10.01,0,5.09,1.22,0,0,0,0,0,0,0,32.78,1.4,0,0,0
 72-82,0,0,0.56,0,0,0.49,10.2,0,0,0,25.73,0,1.19,0.79,0,0,0.88,0,19.13,1.54,1.92,18.07,0.52,15.16,5.6,0,0,1.26,0,0.86,0,0,17.67,0,7.54,0,1.3
 84-94,0,0,0,1.01,3.09,0,7.8,0,0.62,2.83,38.67,0.77,0,0,1.44,0,3.13,0,18.24,1.17,0,7.79,0,14.89,6.22,0,0,5.51,0,0,0,0,3.59,1.6,2.36,0,0
 96-106,0,0,0,0,2.36,0,11.41,6.3,0,2.34,24.87,1.09,0,0,0,0,2.57,0,17.91,0,0,5.01,0,14.79,10.72,0,1.37,0.59,0,0,0,0,13.32,0,0,0.85,0
108-118,0,0,0,0,3.26,0,4.27,0,0,2.73,36.99,0.81,0,0,1,1.85,3.01,0,26.94,1.9,0.86,29.76,0,8.47,7.16,0,0,1.02,0,1.96,0,0,13.05,0,0.71,0.44,0
120,0,0,0,0,4.5,0,0,0,1.42,0,16.28,0,0,0,0,9.66,18.39,0,33.28,0,0,24.02,0,17.97,1.61,0,2.76,1.05,0,0,0,0,3.2,1.95,1.67,2.27,0
