stage,epidermis,erythrocytes,eye,glial,heart,immune,ionocyte,mesenchyme,muscle,neural,notochord,periderm,spinal_cord
 14-21,0,0,0.91,0,0,0,0,0,0,5,0,0,1.05
 24-34,0,0,0,0,0,0.66,0,0,1.15,5.25,0,0,0.94
 36-46,0,0,0,0,0,0.66,0,0.57,0,7.47,0,0,3.14
 48-58,0.54,0,0.41,0,0.59,0,0.44,0,0,9.45,0,0,3.8
 60-70,0,0,2.69,0,0,6.49,0,0,0,14.36,0,2.22,8.67
 72-82,0,0,2.08,0.67,0,4.11,0.5,0,0,13.64,0,0,0
 84-94,0,2.34,4.45,0,0,11.19,0.62,0,0,18.59,0,0,0
 96-106,0,0,1.04,0,0,9.26,0.73,0,0,10.59,0,0,0
108-118,0,0,12.01,0,0,12.88,0,7.89,0,13.82,0.56,0,0
120,0,0,0,0,0,9.53,0,0,0,75.52,0,0,7.97
