stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,0.98,3.59,0,0,0,0,0,1.48,1,0,0,0,0,0,0,4.57,30.28,0,0,0,0,2.78,0.92,7.81,0,2.17,0
 24-34,0,0,1.9,0,0,4.52,0,0,3.3,0.63,0.67,0,0,7.15,0,0,1.49,69.21,0.68,0,0,0,0,2.24,5.32,0,0,0
 36-46,0,0,0.84,0,0,7.48,0,0,7.61,0,0,0,0,4.86,0,0,0,57.78,0.92,0,0,0,0,0,12.14,0,0,0
 48-58,0,0,0,0,0,9.94,0,0,18.54,0,0,0,0,0,0,0,0,9.83,0,0.65,0,0.43,0,0,10.4,0,0,0
 60-70,0,0,0,0,0,23.12,0,0,12.59,0,0,0,0,1.67,0,0,0.6,9.53,0,0,0,0,0,0,3.72,1.31,0,0
 72-82,0,0,0.96,4.78,0,13.89,0,0,27.43,25.2,0,0,0,1.96,0,0,0.59,7.83,0,0,1.4,0,0,0,1.14,0,0.68,0
 84-94,0,0,1.51,1.59,0,12.24,0,0,21.8,10.12,0,0.78,0,1.6,0,0,0,13.22,0,0,0,0,0,0,0,0,0,0
 96-106,2.08,0,2.74,14.21,0,80.28,0,0,44.61,256.7,0,0,0,13.98,1.22,2.29,2.09,36.08,0,2.82,0,0.6,0,0,1.96,0,2.84,5.14
108-118,0,0,2.61,18.35,8.73,66.68,0.64,1.72,49.76,547.64,0,0.87,3.82,18.14,0,0,3.32,36.56,0,0.47,0,2,0,0,1.94,0,0.93,2.67
120,0,0,4.1,13.62,0,31.5,0,0,42.25,421.46,0,2.16,0,0,0,0,0,66.73,0,0,0,8.14,0,0,10.59,0,0,0
