stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,97.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143.13,0,0,0,0,0,0,0,0,0
  5-6,9,64.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1742.84,0,0,0,0,0,0,0,0,0
  7-9,9.4,0,0,0,0,0,6.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.63,0,0,0,10.1,0,282.97,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713.14,5.93,0,0,0,0,53.76,0,9.52,0,0,0,0,0,0,0
 14-21,0,0,2.41,659.69,3.74,0,0,0,2.63,0,0,0,0,0,3.07,1.83,0,0,0,0,1.22,0,0,16.46,1.15,0,0,0,0,124.78,2.44,0,4.02,46.75,0,0,1.08,0,0
 24-34,0,0,0.86,338.16,0,0,5.02,0,39.11,0,0,0,0,0,10.41,0.72,0,0,0,13.52,16,0,6.62,25.83,12.26,0.8,0,0,0,99.63,0,0.65,0.78,54.83,0,0,7.51,0,1.04
 36-46,0,0,0,246.23,1.23,0,2.08,0,43.52,0,0,0,0,0.68,37.05,9.04,0,0,0,11.18,5.89,0,7.04,33.17,6.95,0.6,0,0,0,110.4,0,0,0,45.21,0,0,8.49,0,0
 48-58,1.15,0,0,160.43,0,0,10,0,43.5,0.49,1.62,0,0.57,0.66,13.89,2.29,0,0,0,15.24,3.21,0,2.11,30.22,11.45,0.44,0,0,0,56.02,0,0,0,23.36,0,0,4.3,0,1.87
 60-70,0,0,0,163.56,0,0,29.34,0,87.43,3.12,3.2,7.01,0,0,15.84,0,0,0,0,19.06,5.42,1.04,3.18,11.95,1.51,0.62,0,0,1.65,40.88,0,0,0,6.93,0,1.27,0,0.83,0
 72-82,0,0,6.62,148.43,0,0,16.73,0,43.58,1,3.82,19.03,0.65,1.41,16.83,0.53,0,0.68,4.33,46,2.71,0,0.68,60.14,1.16,0.56,0,0,2.81,38.7,0,0,0,15.96,0,2.26,1.57,0.53,0
 84-94,0,0,1,279.81,0.71,0,13.01,0.7,80.19,1.65,2.94,18.6,0,3.88,37.53,0.74,0,0,0,26.43,2.66,4.76,3.14,4.3,4.47,1.12,1.39,0,0,80.59,0,0.62,0,4.67,0.91,4.54,0.91,4.82,0
 96-106,0,0,0,330.31,0,0,18.92,0,72.34,0,5.57,17.81,0,1.62,32.5,3.11,5.85,2.18,1.32,44.5,3.82,5.4,1.12,8.05,0.79,5.64,0,0,0,96.4,0,4.57,0,8.91,0.67,5.54,5.63,6.07,0
108-118,0,0,0,309.27,0,1.37,18.01,0.75,103.87,4.44,5.99,31.79,0,2.74,23.25,7.56,0,0.83,6.48,54.38,7.4,7.22,2.33,31.92,0.99,3.78,0,0,0,65.99,0,0,0,5.18,3.72,3.77,4.72,4.07,0
120,0,0,0,307.83,19.38,0,10.69,0,67.63,4.76,0,15.95,0,3.83,48.66,2.69,0,1.84,5,39.85,0,1.38,0,11.56,3.87,4.38,0,0,0,46.56,0,0,0,7.18,1.24,2.93,2.4,0,0
