stage,epidermis,eye,immune,mesenchyme,neural,notochord,slow_muscle,spinal_cord
 60-70,0,0,0,0,0,0,2.75,0
 72-82,0,0,0,0,2.31,0,4.03,1.79
 84-94,0,8.47,0.62,0.75,4.12,0,2.72,0
 96-106,2.77,0,0.59,1.65,1.33,0,11.35,0
108-118,0,0,0,0,2.66,0,9.27,0
120,2.16,0,0,0,0,2.47,1.52,0
