stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,xanthophores
  3-4,34.76,958.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0
  5-6,25.75,227.52,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,25.97,0,0,0,0,6.27,0,0,0,0,0,0,0,0
  7-9,0,0,6.31,0,0,10.74,0,0,0,4.61,0,0,0,0,0,0,0,0,27.33,3.63,0,0,4.7,0,0,0,0,0,0,0,0,0
 10-12,0,3.64,3.2,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,80.43,6.07,0,0,9.67,0,0,4.97,0,0,0,0,0,0
 14-21,0,0,0,1.77,0,0.99,0,0,0,0,0,0,0,0,0,0.86,0,0.82,12.7,0,1.46,1.06,0,0,1.76,0.9,12.24,1.94,4.89,0,0,0
 24-34,0,0,0,0,0,3.46,0,0.77,0,0,0,0,0,0,0,3.18,0,0,44.38,0,0,0,0,0,0,1.5,0,0,15.1,0,0,0.76
 36-46,0,0,0,0,3.86,17.35,0,2.55,0,0,0,0.56,0,0,0,4.32,0,0,96.91,0,3.36,0,0,0,0,3.05,0,0,26.01,0,0,5.32
 48-58,0,0,0,0.88,4.96,37.81,0,5.93,0.49,0,0,9.07,0,0,0,3.49,0,0,68.84,0,0.93,0,0,0,0,0.4,0,0,14.6,0,0,20.04
 60-70,0,0,0,0,29.39,54.17,0,0.9,0.63,0,1.01,33.12,0,0,0,2.06,7.4,0,92.99,0,2.5,0.6,0,0.59,0,0,0,0,34.19,0,0,5.62
 72-82,0,0,0,3.53,93.63,116.17,0,6.03,0,0,0,15.67,0.74,0,0,1.33,1.12,0,116.98,0,1.77,0.56,0,1.71,0,0,0,0,9.59,2.66,0,5.15
 84-94,0,0,0,0,64.49,72.91,0,2.94,0,0,0,21.84,0.78,0,1.28,1.13,0,0,44.47,0,2.49,0.99,0,0,0,0,0,0,9.6,0,0,1.57
 96-106,0,0,0,1.22,96.79,187.51,0,5.7,1.11,0,0,21.53,0,0.7,0,1.62,0,0,52.68,0,0.92,0.63,0,0,0,0,0,0,6.83,5.3,0,0
108-118,0,0,0,0,44.2,133.21,0,2.54,0.45,0,0,42.37,0,0,0,3.81,0,0,81.04,0,9.48,0,0,0,0,0,0,0,2.1,6.58,2.34,0.49
120,0,0,0,0,34.98,120.98,1.55,0,0,0,0,7.4,0,0,0,2.22,0,0,97.91,0,2.28,0,0,0,0,0,0,0,0,6.72,0,0
