stage,endoderm,mural.cell,neural,paraxial.mesoderm,periderm
  5-6,0,0,0,0,8.01
  7-9,4.88,0,16.4,4.48,0
 10-12,0,0,7.84,4.22,0
 14-21,0,0,4.25,0,0
 36-46,0,4.9,0,0,0
