stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,41.76,451.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,0,0,0,0,0,0,0,0,0,0
  5-6,16.36,588.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09,0,0,0,0,0,8.01,0,0,0,0,0,0,0,0,0,0
  7-9,26.33,16.36,32.17,0,0,0,83.78,0,0,0,0,0,19.06,0,0,0,0,0,0,0,0,0,0,569.58,25.28,0,0,217.18,0,0,10.61,0,0,0,0,0,0,0,0,0
 10-12,0,17.01,27.36,0,0,0,64.28,0,0,0,0,0,20.83,0,0,0,0,0,0,0,0,0,0,612.27,25.37,0,0,261.04,0,0,0,0,33.55,0,0,0,0,0,0,0
 14-21,0,0,4.29,6.47,3.76,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0,2.1,0,0,0.96,38.52,1.54,1.51,1.95,0,0,1.1,0,9.96,0.86,1.16,10.65,18.54,0,0,0,0
 24-34,0,0,0,3.95,0,0,8.98,0,0,0,0.63,0,0,2.4,4.77,0,0,0,0.86,16.9,0,0,2.09,179.56,0.62,0,0.69,0,0,5.78,0,0,0,0,1.52,22.82,0,2.93,0,0
 36-46,0,0,0,11.76,0,0,29.48,0,0,0,5.32,0,0,0,3.24,0,0,0,0,11.49,0,0,5.26,178.5,0,1.67,0,0,0,10.17,0,0,0,0,0,22.47,0,4.53,0,3.49
 48-58,0,0,0,7.68,0,0,57.79,2.23,1.05,0,13.44,0,0,0,1.83,0,0.98,1.39,0,8.45,0,0,3,165.62,0,0,0,0,0,0.94,0,0,0,0,0,25.87,0,2.66,0,0
 60-70,0,0,0,1.26,5.51,0,64.91,0,0,1.48,19.07,0,0,0,0,3.46,0,0,0,19.48,0,0,0.67,140.26,0,0.73,2.52,0,0,5.3,0,0,0,0,0,34.38,1.03,0,0,0
 72-82,0,0,0,2.53,0.74,0,57.17,1.87,2.2,0,7.01,0,0,0,1.84,0,0,0,0,10.17,0.92,6.67,1.04,100.95,0,0,1.42,0,0,0,0,0,0,0,0,7.62,0,1.44,0.58,0
 84-94,0,0,0,3.66,0,0,37.18,0,0,0,3.47,0.6,0,0,0.95,0,0,0,0,11.3,0,1.93,0,44.59,1.45,1.87,0.78,0,0,2.63,0,0,0,0,0,5.44,0,2.3,0,0
 96-106,0,0,0,1.54,0,0,34.8,0,0,0,6.21,0,0,0.76,1.53,0,0,0,9.58,16.43,0,0,2.02,30.48,0,0,0.85,0,0,0.65,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.71,0,0,9.9,0,0,0,3.04,0.48,0,0,0,0,0,0,6.14,3.27,0.91,0,1.04,47.67,0,4.39,0.51,0,1.6,5.37,0,0,0,0,0,0,0,1.39,0,0
120,0,0,0,2.43,0,1.71,27.35,0,2.54,0,23.34,3.02,0,0,0,0,0,1.77,0,20,0,0,3.35,182,0,0,0,0,0,4.52,0,0,3.15,0,0,0,0,19.34,0,0
