stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.11,43.13,0,0,53.12,0,0,0,0,0,0,5.09,0,0,0,0,0
 14-21,0,0,1.24,10.44,73.75,11.49,0.93,0,0,0,50.09,19.17,0,0,0,0,1.59,0,17.23,1.53,0,8.89,46.09,21.3,0,0,2.3,0,0,18.99,146.21,0,33.18,240.11,0,0,0,0,0.89
 24-34,0,0,3.25,0,6.98,1.27,18.01,0,0.93,2.27,45.97,1.39,0,0,0,0,5.54,0.8,20.47,0,0,30.94,86.81,3.55,0,0,0,0,0,0,379.05,0.88,5.4,140.32,0,0,0,0,24.02
 36-46,0,0,0,0,1.02,0,18.09,0,1.24,5.87,23.4,1.45,0,0,0,0,7.64,10.83,38.04,0,1.42,18.64,160.85,0,2.03,0,0,0,0,0,242.57,0,0,61.59,0,0,0,0,123.83
 48-58,0,0,0,0,0.78,0.67,55.19,0,0,8.16,16.73,0.92,0.99,0,3.09,0,21.47,25.82,83.25,0,1.63,27.36,150.09,0.41,0.42,1.28,0,0,1.73,0,122.24,0,0,59.78,0,0,0,0,176.12
 60-70,0,0,0.57,0,0,0.56,242.64,5.38,0,16.45,36.12,10.49,0,0,1.88,0,0,54.69,98.71,0,0,12.67,240.33,0,0,0,0,0,4.37,0,90.12,0,0,23.84,0,15.71,0,0.72,117.08
 72-82,0,0,2.4,0,4.71,3.54,566.75,3.7,1.14,14.71,184.05,7.14,4.34,1.66,5.72,0,0,21.71,200.92,0,12.09,18.1,273.68,0,1.29,0.69,0,1.48,13.48,0,65.21,0,0,16.94,0,16.33,4.16,2.06,180.47
 84-94,0,0,0,0,4.82,3.17,435.63,2.66,0,23.16,121.32,22.17,1.8,0,6.3,0.8,5.16,40.7,160.47,0,1.06,6.46,219.45,0,0.66,8.43,0,12.74,3.62,0,152.45,0,0,23.81,2.89,6.24,6.48,12.39,86.82
 96-106,0,0,4.89,0,5.82,1.6,455.83,2.22,3.5,13.46,181.66,10.73,7.24,7.23,6.5,0,0,24.01,187.12,0,0.92,23.25,224.27,0,0,13.45,0,2.39,20.19,0,111.72,0,0,13.59,2.74,7.99,5.48,7.85,93.72
108-118,0,0,2.91,0,9.9,4.14,338.16,1.7,0.88,7.31,240.74,8.11,0,0,32.13,0,3.18,32.52,212.94,0,0,11.12,434.22,0,5.07,2.21,0,7.91,5.51,0,89.37,0,0,20.31,0.43,1.78,12.52,5.58,128.88
120,0,0,3.52,0,8.6,3.62,285.1,0,0,13.78,148.57,9.35,0,4.41,13.64,0,0,11,144.94,1.56,0,15.06,419.65,1.33,1.5,2.84,0,5.29,0,0,86.71,0,0,15.78,1.84,1.95,4.28,5.57,51.1
