stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,59.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.91,12.31,0,0,9.22,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.57,6.39,0,0,5.28,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.99,0,0,1.89,0,0,0,0,0,0,0,0,0,0,0,2.15,0,1.91,20.48,0,0,1.06,0,0,0,0.98,0,3.74,8.75,0,0,0,0
 24-34,0,0,0,0,0,0,1.94,0,0,0,3.99,0.71,0,0,0,0,0,0,18.98,0,2.65,84.48,0,1.36,1.07,0,0,5.96,0,0,1.34,26.22,0,0,5.82,0
 36-46,0,0,0,3.06,0,0,12.57,0,0,0,2.12,0.56,0,0,0,0,0.74,0,7.66,0,4.4,72.81,0,1.15,0,0,0,13.68,0,0,0,17.84,0,0,0,0
 48-58,1.29,0,0,0,2.19,0,29.31,0,0,7.78,28.87,0,0.64,0,4.34,0,0.58,0.58,14.4,0.63,0,91.6,0,1.25,1.95,0,0.56,5.25,0,0,0,28.8,0,0,3.47,0
 60-70,0,0,0,2.92,0,0,35.47,0,0,0.9,11.11,0,0,0,0.61,0,0,10.36,8.83,0.79,0,100.34,0,1.19,0,0,0,8.07,0,0,0,14.08,0,0,0,1.82
 72-82,0,0,0,2.18,0,0,32.93,0,1.43,1.78,14.89,3.52,0,0,0,2.08,1.66,0,33.94,2.98,1.85,49.84,0,2.09,0,0,0,4.79,0,0,0,4.42,0.68,0,3.71,0
 84-94,0,0.98,0,3.76,0,0,21.25,0,0,0,15.84,0,0,2.57,0,0.62,0,0,19.12,2.51,2.43,19.85,0.58,0,0.85,0,0,12.53,0,0,0,0.74,0,0,0,1.57
 96-106,0,0,0,2.24,0,0,10.09,0.89,0,0,9.93,0,0,0.63,0,1.8,0.57,0,24.42,2.01,0.59,44.64,0.77,2.07,2.39,0,0,4.1,0,0.82,0,10.84,0,2.22,7.21,0
108-118,0,0,0,2.61,0,1.2,21.23,0,0,0,8.24,0.43,2.95,0.42,0,0,0,1.73,8.95,0,1.19,35.06,0,0.98,0.74,0,0,4.26,0,0,0,0,0,0.82,1.1,1.86
120,0,0,0,9.23,0,0,20.08,0,1.13,0,6.22,0,0,0,0,0,0,0,27.11,0,0,22.3,0,0,0,0,0,3.92,0,0,0,0,0,0,26.9,0
