stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  5-6,6.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54,0,0,3.31,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.61,0,0,4.37,0,0,0,0,0,0,0
 14-21,0,0,2.66,0,0,2.92,0,0,0,0,0,0,0,0,0,0,0,8.9,4.46,1.28,0,0,0,0,0.88,1.52,0,0
 24-34,0,0,0,0,0,5.12,0,0,0,0,0,0,0,0,0,2.66,0,5.78,0,0,0,0,0,0,0,0.78,0,0
 36-46,0,0,0,0,0,19.1,0,0,1,0,0,0,0,0,0,1.02,0,17.43,0,0,0,0,0,0,0,3.29,0,0
 48-58,0,0,2.04,0,0,14.53,0,0,1.65,0,0,0,0,0,0,4.1,0,18.28,0,0.38,0,0,4,0,0,0,0,0
 60-70,0,0,0,0,0,358.23,0,0,1.65,0,0,0,0,0,0,4.38,0,9.22,0,0,0,0,0,0,0,4.54,0,0
 72-82,0,0.5,4.55,0,0,1151.15,0,3.69,17.27,0,0,1.02,5.98,0,0,5.35,2.48,34.09,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.64,0,2.35,988.05,0,0,9.41,0,0,0,0,0,0,6.55,0,11.18,0,0,0,0,0,0,0,1.23,1.03,0
 96-106,0,0,6.26,8.94,0.77,1393.8,0.62,0,23.85,0,0.81,0,0,0,0.67,18.09,1.76,41.99,0,0,0,0,0,0.6,0,0,0,0
108-118,0,0,13.27,0,0,1495.63,0,3.59,9.06,0.88,0,0,0,0.56,0,13.92,5.54,38.7,0,1.08,0,2.86,0,0,0,0,0,4.05
120,0,0,5.74,0,0,1545.49,2.21,0,21.56,0,0,0,0,6.54,0,12.8,0,117.02,0,0,0,0,6.97,0,0,0,0,0
