stage,axial,blastomeres,neural,paraxial.mesoderm,periderm
  3-4,0,10.3,0,0,0
  5-6,20.45,15.84,0,0,0
  7-9,0,0,22.75,0,0
 10-12,0,6.14,3.77,8.1,0
 36-46,0,0,0.89,0,0
 48-58,0,0,0.46,0,0.46
108-118,0,0,1.76,0,0
