stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,heart,ionocyte,lateral_line,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,0,99.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.05,167.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.84,0,0,0,0,0,0
  7-9,4.08,6.05,0,0,4.49,0,0,3.3,0,0,0,0,118.87,0,0,0,82.1,0,0,0,0,0,0,0
 10-12,0,0,0,0,8.57,0,0,0,0,0,0,0,60.26,0,0,0,15.07,0,0,0,0,0,0,0
 14-21,0,0,11.04,0,0,0,0,0,0,0,0,0,11.35,1.14,5.23,0,0,0,0.92,0,3.65,5.5,0,0
 24-34,0,0,2.09,0,0,0,0,0,0,0,0,0.82,18.72,0,0,0,0,6.6,0,0,0.66,0.88,0,2
 36-46,0,0,4.45,0,0,0,0,0,1.64,0,0,0,4.31,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,2.02,0,4.15,0,0,0,0,0,0,5.85,11.59,0,0,0,0,0.38,0,0,0,2.79,0,0
 60-70,0,0,6.54,0,1.95,0,0,0,0,0,4.61,0,10.94,0,0.84,1.12,0,0.72,0,1.88,0,0,0,0
 72-82,0,0,14.78,0,1.88,0,0.77,0,0,0,0.61,1.36,1.53,0,0,5.84,0,0,0,0,0,0,0,0
 84-94,0,0,6.74,0,0,0,1.14,0,0,1.1,0,2.05,2.24,0,0,0.84,0,6.84,0,0,0,0,0,0
 96-106,0,0,0,2.99,0,0,0,0,0,0,0,0,1.41,0,2.67,0,0,5.35,0,0,0,0,0,0
108-118,0,0,4.44,0,2.1,0.5,0,0,0,0,0,1.37,0.55,0,0,0.43,0,3.33,0,0,0,0,0,1.4
120,0,0,3.68,0,10.19,0,0,0,0,0,0,10.78,9.34,0,0,0,0,0,0,0,0,0,3.55,0
