stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,gut,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.05,7.14,4.24,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,5.18,0,0,0
 14-21,0,3.97,0,0,0,0,0,0,0,3.49,0,2.31,0,0,0,0
 24-34,0,0,0,0,0.61,0,1.32,0,0,2.93,0,1.79,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.66,0,0,1.33,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0
 72-82,1.34,0,0,0,0,0,1.88,0,0,1.55,1.07,0,2.12,0,0,0
 84-94,1.11,0,0,0,0.88,0,11.55,0,0.57,0,0,0,0,0,0,0
 96-106,1.15,0.67,0,0,0,0,16.37,0,3.4,0,0,0,0,0,0,0
108-118,3.15,1.41,0.48,3.01,6.56,1.03,16.72,0.43,3.56,1.05,0,0,0,0,0,2.03
120,0,0,0,0,0,0,19.09,0,0,0,0,0,2.33,0,0,0
