stage,blastomeres,epidermis,eye,liver,mesenchyme,muscle,neural,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord
  3-4,11.79,0,0,0,0,0,0,0,0,0,0
  5-6,29.81,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.25,0,0,0
 10-12,0,0,0,0,0,0,4.99,0,0,0,0
 14-21,0,0.8,1.55,6.25,2.1,0.89,0,0,1.56,10.46,0
 24-34,0,0,0,0,2.16,1.38,4.6,0,0,1.87,0.81
 36-46,0,0,0.78,0,0,1.32,2.27,0,0,0,0
 48-58,0,0,6.6,0,1.76,0,6.05,0,0,0,0
 60-70,0,0.69,1.66,0,1.8,0,1.71,0,0,0,1.55
 72-82,0,0,3.32,0,0.6,0,4.63,0,0,0,5.38
 84-94,0,1.78,1.68,0,0,0,1.38,0,0,0,0
 96-106,0,0,0,0,1.1,0,3.21,0,0,0,0
108-118,0,0,0,0,0.75,0,0,0,0,0,0
120,0,0,0,0,1.49,0,5.84,0,0,0,0
